region,ad_id,is_success,is_sever
IN,AD08R8DC8,yes,
IN,AD0898WA8V,yes,
IN,AD08GJMV89,yes,
IN,AD088PPSNL,yes,
IN,AD096RT87F,yes,
IN,AD00Q88D6Q,yes,
IN,AD98808888,yes,
IN,AD08W9NRLR,no,False
IN,AD07GQZSS8,yes,
IN,AD0998HWP8,no,True
IN,AD08M8SDPP,yes,
IN,AD08JV9VZQ,yes,
IN,AD08KKWPQG,yes,
IN,AD09K8J8VN,no,False
IN,AD08XQZV7N,yes,
IN,AD0788Z88Z,yes,
IN,AD096VD888,yes,
IN,AD08TVY87G,no,False
IN,AD098NS6PV,yes,
IN,AD88780886,yes,
IN,AD07D788G8,yes,
IN,AD0788QTLK,yes,
IN,AD08I8807J,yes,
IN,AD08C8GYW8,yes,
IN,AD08HX8JFL,yes,
IN,AD07XZ9PY8,yes,
IN,AD08L980ZS,yes,
IN,AD07VX7GXH,yes,
IN,AD08X88CPZ,yes,
IN,AD08SFFP89,yes,
IN,AD08F8AZAY,yes,
IN,AD08TS9788,yes,
IN,AD08HLLZP8,yes,
IN,AD00S88OD8,yes,
IN,AD088F8X9Y,yes,
IN,AD0798888Z,yes,
IN,AD07DGLKM9,no,False
IN,AD08DD98DX,yes,
IN,AD07FJPZX8,yes,
IN,AD07XQDM8H,yes,
IN,AD08N6JPTQ,yes,
IN,AD08N8JINZ,no,True
IN,AD08A88S8F,yes,
IN,AD07NCW88Y,no,False
IN,AD00GTJSGX,yes,
IN,AD07SJS888,yes,
IN,AD00DXIV7W,no,True
IN,AD08ZZ8988,yes,
IN,AD078NCSWG,yes,
IN,AD08Y8H89K,yes,
IN,AD07MNY888,yes,
IN,AD07WDCHT7,yes,
IN,AD07P688N6,no,False
IN,AD07ZPMXG,yes,
IN,AD088N8QWZ,yes,
IN,AD88898968,yes,
IN,AD07NPGQ88,yes,
IN,AD08DRCYRG,no,False
IN,AD07R6QD8T,yes,
IN,AD078WWTYQ,yes,
IN,AD08NJQZGN,yes,
IN,AD009P8KRA,yes,
IN,AD07TCRWNZ,no,False
IN,AD076VF88G,yes,
IN,AD07PRXV7M,yes,
IN,AD08Y6MCPN,yes,
IN,AD088YZ7ZQ,yes,
IN,AD07PM8JDR,no,True
IN,AD08RXZ8S6,yes,
IN,AD07FQJ887,yes,
IN,AD07CT8QJ6,yes,
IN,AD088PLSJL,yes,
IN,AD08THW8NQ,yes,
IN,AD0788LLMX,yes,
IN,AD08VJFYH6,yes,
IN,AD0969L78T,yes,
IN,AD08VJRXR8,yes,
IN,AD88988088,no,False
IN,AD088G7WGK,yes,
IN,AD08HQL67D,yes,
IN,AD08M8KT8J,yes,
IN,AD098TRCC8,yes,
IN,AD08DV8V88,yes,
IN,AD07ZFW8YT,yes,
IN,AD08CZ7DJ9,yes,
IN,AD07H8RL8X,yes,
IN,AD088GW8JF,no,True
IN,AD098J6VPQ,no,True
IN,AD00VASGL7,yes,
IN,AD078HSW9S,yes,
IN,AD086KQPRF,yes,
IN,AD07CP8N8X,no,False
IN,AD08FCXJ8,yes,
IN,AD08T8PWTW,no,True
IN,AD07W8MYMV,no,False
IN,AD07GC8X8X,yes,
IN,AD08K8NZTC,yes,
IN,AD088GF8YC,yes,
IN,AD08J8D8DK,yes,
IN,AD08HV8PN8,no,False
IN,AD078PTH7Y,yes,
IN,AD078JCZ8J,yes,
IN,AD07VQHLFJ,yes,
IN,AD06VX8YR6,yes,
IN,AD07GC88QC,yes,
IN,AD08LS88K8,no,True
IN,AD09787CXY,yes,
IN,AD08WCV6YK,yes,
IN,AD08FXQMY,yes,
IN,AD07KCK86X,yes,
IN,AD099WTHGV,no,True
IN,AD08LFFE8I,yes,
IN,AD088HQZ68,yes,
IN,AD087DJ9L8,yes,
IN,AD0886QGN6,yes,
IN,AD078FM88K,yes,
IN,AD0786ML89,no,False
IN,AD08N0PJ8X,yes,
IN,AD088DD8KD,no,False
IN,AD08JLQWFD,no,False
IN,AD08XRC8U,yes,
IN,AD07X678VS,yes,
IN,AD08YR8YDQ,yes,
IN,AD08KHN88L,yes,
IN,AD08XNZTH9,no,False
IN,AD08TCN8SW,yes,
IN,AD08C86J8G,yes,
IN,AD0876NWHJ,yes,
IN,AD07G88R8Q,no,True
IN,AD07888866,yes,
IN,AD08CR8LYW,yes,
IN,AD088V7VGU,yes,
IN,AD07MW7PKW,yes,
IN,AD08YZ8SK,yes,
IN,AD08XK8YTG,yes,
IN,AD07C6DZKN,yes,
IN,AD08JMDMTI,yes,
IN,AD07SSH8FX,no,True
IN,AD07R7XM77,no,False
IN,AD07WCMQSX,yes,
IN,AD07G9GL88,yes,
IN,AD07X88F9M,yes,
IN,AD07YG898H,yes,
IN,AD08ZHJMCY,yes,
IN,AD098TRZ8P,yes,
IN,AD00OGKF9V,yes,
IN,AD07MZQ8F8,yes,
IN,AD07QX8THW,yes,
IN,AD0787G8TF,yes,
IN,AD0086C8MD,no,False
IN,AD07Q8CGC8,yes,
IN,AD00N8XLDW,yes,
IN,AD07SLMR8K,no,False
IN,AD098QQ9L,no,False
IN,AD088K8VRZ,yes,
IN,AD07YNJTQP,yes,
IN,AD08988NW8,yes,
IN,AD088MCZZX,yes,
IN,AD00A0VCJP,yes,
IN,AD07HG8S7K,yes,
IN,AD08FXLYGH,yes,
IN,AD07M8S8VY,no,True
IN,AD08PPGC8S,no,True
IN,AD097ZKNX,no,False
IN,AD08D8X6YF,yes,
IN,AD07HRJ9YK,yes,
IN,AD008XT88J,yes,
IN,AD08SW8J8J,yes,
IN,AD08GSQTGX,no,True
IN,AD07MGRKJ8,yes,
IN,AD07Q8HQTH,no,True
IN,AD08GY8QF8,no,True
IN,AD00IA79SX,yes,
IN,AD08LTCNWT,yes,
IN,AD08YJC6CJ,yes,
IN,AD096M8S8X,no,False
IN,AD08Z88JM8,yes,
IN,AD098PN8L8,yes,
IN,AD07FM8DDG,no,False
IN,AD08LOORNL,yes,
IN,AD07TH88XF,yes,
IN,AD08DJJVFP,yes,
IN,AD08R6QR86,yes,
IN,AD09888PVN,yes,
IN,AD07FNH8TJ,yes,
IN,AD077G7888,yes,
IN,AD08VF8G8C,no,True
IN,AD08MVSL8V,no,True
IN,AD08N8VIXC,yes,
IN,AD088VHJCR,no,False
IN,AD07DRRPNS,yes,
IN,AD0968JJQY,yes,
IN,AD07KVJ9ZW,no,True
IN,AD07J8P88X,yes,
IN,AD06XFSSDN,yes,
IN,AD08WM88R8,yes,
IN,AD06WLNXVK,yes,
IN,AD088XWLSV,yes,
IN,AD08996986,no,False
IN,AD08NHGXLX,yes,
IN,AD09FJVTMX,yes,
IN,AD08YRH888,yes,
IN,AD09CH7888,yes,
IN,AD07F878V8,yes,
IN,AD07J68M9R,yes,
IN,AD98888687,no,False
IN,AD08VN8NX8,yes,
IN,AD00GN89AM,no,True
IN,AD07HSNJRL,no,False
IN,AD0768G8D8,yes,
IN,AD08Y96LYQ,no,True
IN,AD06XHV8XR,no,True
IN,AD0889NE8I,no,False
IN,AD07WQHTHT,yes,
IN,AD088TVYT8,yes,
IN,AD07HF8RF8,yes,
IN,AD07MVNCLV,no,False
IN,AD088K8JNF,yes,
IN,AD0788N9K8,yes,
IN,AD088KYWKC,yes,
IN,AD07PVVQFC,yes,
IN,AD08R7M8JM,yes,
IN,AD07RWK8SF,no,False
IN,AD08N6P86C,yes,
IN,AD088889FQ,yes,
IN,AD07H98QV7,yes,
IN,AD07W88JF8,yes,
IN,AD08KXXKN8,yes,
IN,AD098F6SHW,yes,
IN,AD08XGQHGM,yes,
IN,AD07FLLQ8Z,no,True
IN,AD078C7Z8K,no,True
IN,AD07G9GD7Z,yes,
IN,AD08KP8D8G,no,False
IN,AD08AUPGA9,yes,
IN,AD098NJNY8,no,False
IN,AD097DTFCM,yes,
IN,AD08G8FYLG,yes,
IN,AD088SCT8,yes,
IN,AD088GV698,no,False
IN,AD08LXH98O,yes,
IN,AD07R87GSZ,no,True
IN,AD08L88KS6,no,True
IN,AD07XKVP8N,no,False
IN,AD08JZY9TF,yes,
IN,AD08LVYP87,no,False
IN,AD08HXY8VZ,yes,
IN,AD089MT86T,yes,
IN,AD08HHLJ88,yes,
IN,AD008Z7M88,yes,
IN,AD089Z77XL,yes,
IN,AD07S88X7L,yes,
IN,AD07FL8C88,no,True
IN,AD09888W86,no,False
IN,AD08TRMG8P,yes,
IN,AD08X8HVFD,yes,
IN,AD07WFP697,yes,
IN,AD07VD6LL8,yes,
IN,AD099NX8JD,yes,
IN,AD08MCW887,yes,
IN,AD07FYNZL6,yes,
IN,AD0888MGS9,yes,
IN,AD07L8X89Z,no,True
IN,AD07GHQX88,yes,
IN,AD0888X6GX,yes,
IN,AD098H7QKP,yes,
IN,AD08L8H88P,yes,
IN,AD07VNQLF8,yes,
IN,AD088N8XSS,yes,
IN,AD08HFRSJC,yes,
IN,AD088SYP98,yes,
IN,AD077Q9Q88,yes,
IN,AD08LDV8R8,yes,
IN,AD08L88VXD,yes,
IN,AD08L88V8Y,yes,
IN,AD08ZMT8K7,yes,
IN,AD07WN8PM9,yes,
IN,AD08D76PV8,yes,
IN,AD07FM7ZD8,yes,
IN,AD08X868YM,yes,
IN,AD07YYNX8X,yes,
IN,AD08EY880U,yes,
IN,AD08KTKS8G,no,True
IN,AD098Q6YX8,yes,
IN,AD08HCY8CN,no,True
IN,AD07HQDWMV,no,True
IN,AD06XV9QSF,no,True
IN,AD08JVH6SD,yes,
IN,AD096YQZKZ,yes,
IN,AD0887D8YW,yes,
IN,AD088TZZZM,yes,
IN,AD07DXMXFZ,yes,
IN,AD00O867JY,yes,
IN,AD07PT678Z,no,False
IN,AD099J8TN8,yes,
IN,AD07QN98N8,yes,
IN,AD088M8WKC,yes,
IN,AD08D6R8JD,no,True
IN,AD0888VM8R,no,False
IN,AD098NFMK8,yes,
IN,AD07JZWZPF,yes,
IN,AD09CGX8CG,yes,
IN,AD078HG97Y,yes,
IN,AD08WC66TS,yes,
IN,AD089T8C8N,yes,
IN,AD078NWL96,yes,
IN,AD08PZJV8R,yes,
IN,AD08FD6EMN,yes,
IN,AD00PQ6Z08,yes,
IN,AD098STJW8,yes,
IN,AD07QFXDJN,yes,
IN,AD07MDDK89,yes,
IN,AD07HK9FHZ,no,False
IN,AD07TYQPXR,no,False
IN,AD86868898,no,False
IN,AD096QDYW8,yes,
IN,AD08KZQQR8,yes,
IN,AD07NPMY8S,yes,
IN,AD078L88WD,yes,
IN,AD07GMSX86,no,True
IN,AD098FWXV6,yes,
IN,AD07X99X8M,no,False
IN,AD07ZGKZT8,no,True
IN,AD08FT89GQ,no,True
IN,AD078Y86Q9,yes,
