week_id,ad_id,requester,region,recommendation_type,rec_provider
2021-week_35,AD08JCSZP8,Puentes Company,IN,Yield,UserPopY
2021-week_35,AD07JRGJNW,Puentes Company,IN,Qality,UserPopQ
2021-week_35,AD07CP8J6G,Puentes Company,IN,Yield,UserPopY
2021-week_35,AD08MCCNLN,Fry Multimedia,IN,Qality,UserPopQ
2021-week_35,AD07C68888,Puentes Company,IN,Yield,UserPopY
2021-week_35,AD00GCEGP9,Puentes Company,IN,Yield,UserPopY
2021-week_35,AD07V8CGPD,Puentes Company,IN,Yield,UserPopY
2021-week_35,AD07TJVZ9F,Puentes Company,IN,Yield,RuleBasedY
2021-week_35,AD07N7W868,Search Million Culture,IN,Qality,ManualQ
2021-week_35,AD08FT89GQ,Puentes Company,IN,Yield,UserPopY
2021-week_35,AD098CYN8Z,Search Million Culture,IN,Qality,UserPopQ
2021-week_35,AD08F8JG88,Search Million Culture,IN,Qality,UserPopQ
2021-week_35,AD0888SMT8,Puentes Company,IN,Yield,UserPopY
2021-week_35,AD08WCCXF8,Puentes Company,IN,Yield,RuleBasedY
2021-week_35,AD00P68VOG,Search Million Culture,IN,Qality,UserPopQ
2021-week_35,AD098WH8Q8,Puentes Company,IN,Yield,UserPopY
2021-week_35,AD00ADZUNY,Search Million Culture,IN,Qality,ManualQ
2021-week_35,AD07DNQ8FD,iDreamsky Technology,IN,Qality,UserPopQ
2021-week_35,AD0888GCRK,Search Million Culture,IN,Yield,RuleBasedY
2021-week_35,AD097KMXXT,Search Million Culture,IN,Qality,UserPopQ
2021-week_35,AD0786KT8Q,Search Million Culture,IN,Qality,ManualQ
2021-week_35,AD06W8MZP8,Puentes Company,IN,Yield,RuleBasedY
2021-week_35,AD00ADRGWN,RelayFoods,IN,Qality,UserPopQ
2021-week_35,AD088S8WL6,Search Million Culture,IN,Yield,RuleBasedY
2021-week_35,AD07VY8CMX,Search Million Culture,IN,Qality,UserPopQ
2021-week_35,AD08QGPK77,Puentes Company,IN,Yield,UserPopY
2021-week_35,AD098R88DD,iDreamsky Technology,IN,Qality,UserPopQ
2021-week_35,AD00VASGL7,Puentes Company,IN,Yield,ManualQ
2021-week_35,AD07NKLWQM,Search Million Culture,IN,Qality,UserPopQ
2021-week_35,AD077CQ89,Search Million Culture,IN,Qality,UserPopQ
2021-week_35,AD08RS87PP,Search Million Culture,IN,Yield,RuleBasedY
2021-week_35,AD08P8LLFX,Search Million Culture,IN,Qality,UserPopQ
2021-week_35,AD06VVKH8K,Puentes Company,IN,Yield,UserPopY
2021-week_35,AD07HT98CT,Fry Multimedia,IN,Qality,UserPopQ
2021-week_35,AD08JM7X6R,Search Million Culture,IN,Qality,UserPopQ
2021-week_35,AD09CL8KT8,Search Million Culture,IN,Yield,RuleBasedY
2021-week_35,AD07F8X88W,Puentes Company,IN,Yield,RuleBasedY
2021-week_35,AD08LYN8SX,Search Million Culture,IN,Qality,UserPopQ
2021-week_35,AD099PRGHC,Puentes Company,IN,Yield,RuleBasedY
2021-week_35,AD08WG8GH,iDreamsky Technology,IN,Qality,UserPopQ
2021-week_35,AD08MC9DG8,Search Million Culture,IN,Qality,UserPopQ
2021-week_35,AD077HSZNZ,Puentes Company,IN,Yield,UserPopY
2021-week_35,AD00I9YVN8,Puentes Company,IN,Yield,UserPopY
2021-week_35,AD08W886LP,Search Million Culture,IN,Qality,UserPopQ
2021-week_35,AD08IVCUNO,Puentes Company,IN,Yield,ManualQ
2021-week_35,AD07Q888CW,Puentes Company,IN,Yield,UserPopY
2021-week_35,AD07HGGYWL,Search Million Culture,IN,Qality,ManualQ
2021-week_35,AD07FS7C78,RelayFoods,IN,Qality,ManualQ
2021-week_35,AD08D889RT,Puentes Company,IN,Yield,UserPopY
2021-week_35,AD08D889RT,Puentes Company,IN,Yield,UserPopY
2021-week_35,AD07R8SJTS,Search Million Culture,IN,Qality,UserPopQ
2021-week_35,AD08VW888Q,Puentes Company,IN,Yield,UserPopY
2021-week_35,AD09888YZW,Search Million Culture,IN,Yield,RuleBasedY
2021-week_35,AD096VD6RQ,Search Million Culture,IN,Qality,UserPopQ
2021-week_35,AD096VD6RQ,Search Million Culture,IN,Qality,UserPopQ
2021-week_35,AD0788HG8T,Search Million Culture,IN,Yield,RuleBasedY
2021-week_35,AD07WGMR7D,Search Million Culture,IN,Qality,UserPopQ
2021-week_35,AD07TCNC8Y,Search Million Culture,IN,Qality,UserPopQ
2021-week_35,AD08LXALEK,Search Million Culture,IN,Qality,ManualQ
2021-week_35,AD08HN9Q8S,Search Million Culture,IN,Qality,UserPopQ
2021-week_35,AD077G8SW6,Puentes Company,IN,Yield,UserPopY
2021-week_35,AD07K88SWR,RelayFoods,IN,Qality,UserPopQ
2021-week_35,AD088GVFGM,Search Million Culture,IN,Qality,UserPopQ
