region,ad_id,is_success,is_sever
JP,AD08MTVK8X,yes,
JP,AD088S8W9Y,yes,
JP,AD08WSHW8G,no,True
JP,AD00IYIY6M,yes,
JP,AD08N878W,yes,
JP,AD0088NWMI,no,False
JP,AD0086GOQL,yes,
JP,AD07SN8ZPV,yes,
JP,AD008YOMJ9,yes,
JP,AD07YYNFMP,yes,
JP,AD079Q9JT8,yes,
JP,AD000WCEGY,no,False
JP,AD08LZUXQ8,yes,
JP,AD09DSCRDT,no,False
JP,AD00868TGM,no,False
JP,AD08F7YFZN,yes,
JP,AD086QCPO0,yes,
JP,AD07K6N7TD,yes,
JP,AD008DAOMJ,yes,
JP,AD008A8SC7,no,True
JP,AD06XN89TJ,no,True
JP,AD09TVS8Z,no,False
JP,AD08XYFY86,yes,
JP,AD086YGS8S,no,True
JP,AD08L6H88D,no,True
JP,AD0978X88T,yes,
JP,AD077S6TRX,yes,
JP,AD008M78YA,yes,
JP,AD00HS8I76,yes,
JP,AD07QH8H7D,yes,
JP,AD088ZRALM,yes,
JP,AD07MFNGN8,no,False
JP,AD008AGDYY,yes,
JP,AD07V9R88H,yes,
JP,AD07G9ZSJ8,yes,
JP,AD07YV8988,no,False
JP,AD07PFFMQ6,no,False
JP,AD07GSWGHD,no,False
JP,AD00ISV8X8,no,False
JP,AD098PZLC8,no,True
JP,AD07SZ8CGS,yes,
JP,AD00T7KH8A,no,False
JP,AD0088VQRA,yes,
JP,AD088HN7DQ,no,True
JP,AD007STDL8,yes,
JP,AD00DK7EV8,yes,
JP,AD088J8TR8,no,False
JP,AD08L8GTYL,yes,
JP,AD07KD87NC,no,True
JP,AD07QFTC8M,no,False
JP,AD07GL9RGQ,yes,
JP,AD07J8P7D8,no,False
JP,AD097YPPP8,yes,
JP,AD0968888X,yes,
JP,AD07Q88MHJ,yes,
JP,AD096XPZ89,no,True
JP,AD07CHR8TW,no,False
JP,AD08TWH8VV,no,True
JP,AD00878XUQ,yes,
JP,AD0897ZZ8J,yes,
JP,AD088Y87S8,no,True
JP,AD07SKF888,yes,
JP,AD088R7CTM,yes,
JP,AD097QJ8YS,no,True
JP,AD07TTH8TM,yes,
JP,AD08MDP6EX,yes,
JP,AD00CWNMXQ,yes,
JP,AD008SJVNQ,yes,
JP,AD088C86S9,yes,
JP,AD07CG878G,yes,
JP,AD08D8EA8M,yes,
JP,AD00YC8M8K,yes,
JP,AD08C6STUA,yes,
JP,AD07YWX8MH,no,True
JP,AD00CJRFFH,no,True
JP,AD098P988L,no,False
JP,AD08X8MFWF,no,True
JP,AD08FCH88T,no,True
JP,AD098D98VY,yes,
JP,AD086POVVT,no,True
JP,AD0888RPWD,no,True
JP,AD07NJFH8D,yes,
JP,AD0898JIFV,yes,
JP,AD08GM68R8,yes,
JP,AD008VCPUG,yes,
JP,AD098V8PH9,yes,
JP,AD00TTCZCW,no,True
JP,AD08EL7MJP,yes,
JP,AD07FR88TW,yes,
JP,AD07C8VV8N,yes,
JP,AD07V8PZFX,yes,
JP,AD07G78GVH,yes,
JP,AD00XXOY8T,yes,
JP,AD008Q8868,no,True
JP,AD09Z78KYQ,yes,
JP,AD00YOLS7K,yes,
JP,AD00D667ZY,no,False
JP,AD07CS8W89,yes,
JP,AD0888RT8X,no,False
JP,AD08W9FZ8D,yes,
JP,AD098RK988,yes,
JP,AD00QIS8N9,yes,
JP,AD00F9RJPM,yes,
JP,AD08TMM9S9,no,False
JP,AD0888SW8W,no,False
JP,AD08F88MM6,yes,
JP,AD078NDH8Y,yes,
JP,AD08F7RZ8X,yes,
JP,AD00DVY8W0,yes,
JP,AD08897KRJ,no,False
JP,AD000LFPYV,yes,
JP,AD088KTKPF,no,False
JP,AD07RH8L9G,no,False
JP,AD00N8E68O,yes,
JP,AD079QRQTC,yes,
JP,AD08CXVH7R,no,False
JP,AD088HD8LG,no,False
JP,AD088GQSZ8,no,True
JP,AD099ZK8KK,yes,
JP,AD0988TLMN,no,False
JP,AD07Z8YPR8,yes,
JP,AD07DGGN89,yes,
JP,AD09D8ZMFG,yes,
JP,AD07DZX8V8,yes,
JP,AD096P67DP,no,True
JP,AD07CDM7SJ,no,False
JP,AD07888P8W,yes,
JP,AD0768QWPJ,yes,
JP,AD0766F6ZK,no,True
JP,AD008C86PL,yes,
JP,AD08TV9VDR,no,False
JP,AD07F8CCSJ,yes,
JP,AD08Q87RYN,no,True
JP,AD00PJMACZ,no,False
JP,AD07RX88W8,yes,
JP,AD08PXKRKP,no,False
JP,AD000FQV0J,yes,
JP,AD00CLMF86,yes,
JP,AD08KY88DJ,yes,
JP,AD088TXM8V,yes,
JP,AD07ND8R88,yes,
JP,AD08D6G888,yes,
JP,AD00ES8JRI,yes,
JP,AD088HI0M8,yes,
JP,AD0088K8RS,no,False
JP,AD000OLFXR,no,False
JP,AD08LD8K88,yes,
JP,AD00UR88Z0,yes,
JP,AD0989QZPR,yes,
JP,AD07JGN8F8,yes,
JP,AD088X8D8L,yes,
JP,AD08M78A9M,yes,
JP,AD078Z8JRC,yes,
JP,AD08YXQJS,yes,
JP,AD08DU88FF,no,False
JP,AD07RVT8K8,no,True
JP,AD07LW87VS,no,True
JP,AD07RP7TTT,yes,
JP,AD088IDNTW,no,False
JP,AD07YG7RNF,yes,
JP,AD08K8H8QP,no,False
JP,AD007TFQ8T,yes,
JP,AD008V8XZ8,yes,
JP,AD08D8L098,no,False
JP,AD00AH8K8C,yes,
JP,AD098MZ8SK,yes,
JP,AD08YDQWV8,yes,
JP,AD098LTX6P,yes,
JP,AD098877VQ,no,
JP,AD086YHKVF,no,True
JP,AD08P6ZSXW,yes,
JP,AD09CCSV8G,no,False
JP,AD00RCCTPX,no,False
JP,AD00C9P9MP,yes,
JP,AD07T7RQHQ,no,True
JP,AD07YND8YH,yes,
JP,AD00E60870,yes,
JP,AD08Z7F8RG,yes,
JP,AD08DZ8VX6,yes,
JP,AD08K8GG9C,no,False
JP,AD00IRX6WT,yes,
JP,AD07KD8H8D,no,True
JP,AD0088QQT9,yes,
JP,AD08DFOUH9,no,False
JP,AD07HRSMSW,yes,
JP,AD08YS8L88,yes,
JP,AD088TP86V,no,False
JP,AD07VH8WC8,yes,
JP,AD088KQRCG,no,False
JP,AD0988H86,yes,
JP,AD088MRHDZ,yes,
JP,AD07NVLW89,no,True
JP,AD0888CLC6,yes,
JP,AD07TYS6WX,yes,
JP,AD00X8E800,no,True
JP,AD00N8MQPC,yes,
JP,AD078Q898X,yes,
JP,AD096XDH6,no,True
JP,AD006G8EKD,no,True
JP,AD076VXV8L,yes,
JP,AD000I0KM9,yes,
JP,AD088N888S,no,True
JP,AD08XLVNML,yes,
JP,AD077NXV8R,yes,
JP,AD07JQ8G9X,yes,
JP,AD008N8APG,no,False
JP,AD008W0ZRO,yes,
JP,AD08RF9SH6,yes,
JP,AD0088PH78,yes,
JP,AD07RKS6XF,yes,
JP,AD07Z8JJKM,yes,
JP,AD086U0VZF,yes,
JP,AD08T7LWQ8,no,False
JP,AD00XKNQVG,yes,
JP,AD00WW0H88,no,False
JP,AD08Q7V8NM,no,False
JP,AD0988Z768,no,False
JP,AD08DN8XR8,no,False
JP,AD008H88EZ,yes,
JP,AD000NZY7U,yes,
JP,AD08Q88H88,no,False
JP,AD07G76HW8,yes,
JP,AD00EN6QDS,yes,
JP,AD07NWKF88,yes,
JP,AD098T8ZQ6,yes,
JP,AD007VAFXL,no,True
JP,AD09DG8W7J,no,False
JP,AD00J7C8YP,no,False
JP,AD07L88Q7Y,yes,
JP,AD08LA8VG8,no,True
JP,AD098CYLCY,yes,
JP,AD08MST88I,no,False
JP,AD07SYGTCK,no,False
JP,AD00JPWD0V,no,True
JP,AD07ZPV79Q,no,True
JP,AD000CCJIW,no,True
JP,AD09868HLL,no,True
JP,AD07RV6N78,yes,
JP,AD00AQAO8,no,True
JP,AD08N908QR,no,True
JP,AD098T98PM,yes,
JP,AD00J7PK9M,no,False
JP,AD07T86J6,yes,
JP,AD08H7DRG,yes,
JP,AD078YJQV8,yes,
JP,AD08WC899F,no,True
JP,AD07JQP88T,no,False
JP,AD08CDWC88,yes,
JP,AD07NC98JS,yes,
JP,AD08XQ8Y86,no,False
JP,AD079MN8G6,yes,
JP,AD07SPRNSL,yes,
JP,AD088CJ889,no,True
JP,AD008D7H8I,no,False
JP,AD08N6NUY7,yes,
JP,AD08NCO8CT,yes,
JP,AD098H88MK,no,False
JP,AD0768NXJX,yes,
JP,AD08L6HHRJ,yes,
JP,AD078XLNG8,yes,
JP,AD007X8W8F,yes,
JP,AD00OASVLK,yes,
JP,AD098H9M88,yes,
JP,AD0068JLTQ,no,True
JP,AD088DHNDZ,yes,
JP,AD00SYCL6C,no,True
JP,AD007YC8AG,yes,
JP,AD00UPW7RJ,yes,
JP,AD00RH9HF9,yes,
JP,AD07QHVCCH,yes,
JP,AD07T97DKS,yes,
JP,AD07FYLJ8S,no,False
JP,AD0888H8P6,yes,
JP,AD076LKDFD,yes,
JP,AD0086ZR8C,yes,
JP,AD097D8DDD,yes,
JP,AD098ZY686,no,True
JP,AD07PNNRSV,no,True
JP,AD079M88T7,yes,
JP,AD08F8Z8RK,yes,
JP,AD07N8N887,yes,
JP,AD0786RJQ9,yes,
JP,AD088TNP88,yes,
JP,AD088NOVL9,yes,
JP,AD08WC78JR,no,True
JP,AD07DGGPML,yes,
JP,AD07X8JXM8,yes,
JP,AD087FNK8S,yes,
JP,AD098JXDGT,yes,
JP,AD089QXJTZ,yes,
JP,AD008DC07I,yes,
JP,AD008PKTEH,no,False
JP,AD08HLFDV8,yes,
JP,AD06XJ7JT8,no,True
JP,AD08COZY8V,yes,
JP,AD07NDKTN8,yes,
JP,AD08EL8GE8,no,False
JP,AD008CFXLP,no,False
JP,AD098N8LPW,yes,
JP,AD088X868P,yes,
JP,AD0098GJZP,no,True
JP,AD07YMJRYS,yes,
JP,AD08AR9XL8,yes,
JP,AD08M9J8XM,no,False
JP,AD088Q8886,yes,
JP,AD08EPNPF6,yes,
JP,AD078D88DQ,yes,
JP,AD08R8DFT8,yes,
JP,AD099DW668,no,True
JP,AD08W8XVJ,no,True
JP,AD088GYMR9,yes,
JP,AD07RWWZT8,yes,
JP,AD009KY8PH,yes,
JP,AD00UD8GSE,yes,
JP,AD088Y6QZF,no,True
JP,AD07M8VN8C,yes,
JP,AD07PK86ST,no,False
JP,AD098GJHSK,no,True
JP,AD08J86C9V,no,True
JP,AD07QDHX69,yes,
JP,AD098ZG8HP,yes,
JP,AD08EXYTJN,yes,
JP,AD07QK8R88,yes,
JP,AD0889W98D,yes,
JP,AD07KWL8ZZ,no,True
JP,AD08MYWZUU,yes,
JP,AD098DPXX8,yes,
JP,AD08PZF9WN,no,True
JP,AD06XWVCWS,yes,
JP,AD086888MD,yes,
JP,AD000IM6WV,yes,
JP,AD086VXLDN,yes,
JP,AD08CNT7NY,no,True
JP,AD07MKYH69,yes,
JP,AD08LXP8TX,yes,
JP,AD07T77YMS,yes,
JP,AD009H8WMZ,no,False
JP,AD08HMRJTD,yes,
JP,AD07S69YHK,no,False
JP,AD08HS87RH,yes,
JP,AD07NGHWW,yes,
JP,AD00G6RK8N,no,False
JP,AD008QMFUK,no,False
JP,AD08D6WSSH,yes,
JP,AD07NKJSDL,no,False
JP,AD08GPY9CW,no,False
JP,AD08M88SJQ,yes,
JP,AD07ZRGSPR,yes,
JP,AD088VRPNK,no,True
JP,AD07H88QPY,yes,
JP,AD07P8WXQF,yes,
JP,AD0989MDYL,yes,
JP,AD088UW98V,no,True
JP,AD08PZ8PJK,no,False
JP,AD088RVV9Z,yes,
JP,AD0080FH0O,no,True
JP,AD07F7VWY6,no,False
JP,AD07SPVT88,yes,
JP,AD008KCHGL,no,True
JP,AD07ZKP887,yes,
JP,AD07PDGCY7,no,False
JP,AD008EVG8X,no,False
JP,AD0868JV8J,yes,
JP,AD097PY8WF,yes,
JP,AD098DS8Q8,yes,
JP,AD0000C9CV,no,False
JP,AD0076E8TY,no,False
JP,AD08P7LH78,yes,
JP,AD08WXT9NT,no,True
JP,AD07Z88SGW,yes,
JP,AD08DLSTVQ,yes,
JP,AD088S8ZKD,no,False
JP,AD098SVP8N,no,False
JP,AD08G8PWN9,no,True
JP,AD08WW9YTY,no,False
JP,AD008TM6F7,no,True
JP,AD00E86WAV,no,True
JP,AD09CLXJ68,no,False
JP,AD08DF88QE,yes,
JP,AD09DT6D88,no,True
JP,AD088X8Y9P,yes,
JP,AD07RSXF8C,no,False
JP,AD000RU8N8,yes,
JP,AD00HD0C9H,no,True
JP,AD078WP8NS,yes,
JP,AD08N88XKY,yes,
JP,AD06XDN8K8,no,False
JP,AD08G8JGM8,yes,
JP,AD0899R8KV,yes,
JP,AD0888RT8H,yes,
JP,AD098P8GYT,yes,
JP,AD098FL79T,yes,
JP,AD088T8YFL,yes,
JP,AD07PQFN9V,no,True
JP,AD07Y9XYS8,no,True
JP,AD08V8VTPL,yes,
JP,AD08V8XNX8,no,True
JP,AD00PQAN7C,yes,
JP,AD089GKK8Y,yes,
JP,AD08ZHJKF8,no,False
JP,AD08THLY9N,yes,
JP,AD08LVJ6TJ,yes,
JP,AD08ZXYY8G,no,False
JP,AD08WZQ8ZN,yes,
JP,AD07GXNZ8Z,yes,
JP,AD00VRJH8K,yes,
JP,AD07Y8Y7Q8,yes,
JP,AD08D8CL8T,yes,
JP,AD088DWX8P,no,False
JP,AD077N8LXV,no,False
JP,AD07PTXWCQ,yes,
JP,AD08KHOYIU,yes,
JP,AD078TFKYP,yes,
JP,AD07SQWM8Q,yes,
JP,AD078M88NG,yes,
JP,AD07CPMJKJ,yes,
JP,AD07NCYVRS,yes,
JP,AD08FFAFJC,no,False
JP,AD088M7PVP,no,False
JP,AD07FS86NR,no,True
JP,AD00KIHYZV,yes,
JP,AD08LZZ86N,no,True
JP,AD08RJ8SGQ,yes,
JP,AD08G88W7S,no,False
JP,AD006DQJHF,yes,
JP,AD077L78H7,no,True
JP,AD0068C8I8,no,True
JP,AD08NAHY7P,yes,
JP,AD0088TS8Q,no,True
JP,AD078CHGGF,no,True
JP,AD08QVS86J,no,True
JP,AD098XMNFC,yes,
JP,AD08KDV8X8,no,True
JP,AD00WNW8A8,yes,
JP,AD07R8XWT8,no,False
JP,AD07WFC8GT,no,True
JP,AD08SJ7R88,yes,
JP,AD00MTHUY6,yes,
JP,AD08DOP8S9,yes,
JP,AD07PR788W,yes,
JP,AD0786WWQR,yes,
JP,AD08Z88888,yes,
JP,AD08YDNTDR,yes,
JP,AD08FC7L86,yes,
JP,AD000PJ887,yes,
JP,AD098KV88Z,no,True
JP,AD00868UGG,yes,
JP,AD0098GIQX,no,True
JP,AD088QCWY8,yes,
JP,AD09D7HWFV,yes,
JP,AD08KGY97D,yes,
JP,AD00NSP8RW,yes,
JP,AD08GZR88S,yes,
JP,AD08IJEZ0E,no,False
JP,AD07YTKJMN,no,True
JP,AD07JH8SVP,yes,
JP,AD088KJ8PV,no,False
JP,AD088ZKH8S,no,True
JP,AD00ZIWCZM,yes,
JP,AD08NSZNHH,no,False
JP,AD07RQ7LS9,no,True
JP,AD0006L088,yes,
JP,AD076WXP98,yes,
