region,ad_id,is_success,is_sever
US,AD08XF88ZR,yes,
US,AD008I8U9O,yes,
US,AD0008VUGR,yes,
US,AD0787RSKT,yes,
US,AD0000UJH0,yes,
US,AD0888VD9M,yes,
US,AD07ND8MW8,yes,
US,AD07688ZLW,yes,
US,AD00TZ07NO,yes,
US,AD0788GRJZ,yes,
US,AD08YMJ8X8,yes,
US,AD00L7S8FJ,yes,
US,AD08MPOJ8,yes,
US,AD08888K88,yes,
US,AD00IJ0L88,yes,
US,AD000H98TC,yes,
US,AD088A7MNA,yes,
US,AD08CFWX8W,yes,
US,AD088G8SCZ,yes,
US,AD008CCJOA,yes,
US,AD00YND8R8,yes,
US,AD0007CXY8,yes,
US,AD00888ZN8,yes,
US,AD07QNCL7S,no,True
US,AD08DF8889,no,True
US,AD00HZFCQL,no,True
US,AD000GCQ8X,yes,
US,AD0088JKJK,yes,
US,AD00R8AWJI,yes,
US,AD08Y8ZV8H,yes,
US,AD07YFZWTD,yes,
US,AD0086LIXH,yes,
US,AD07SQKNZC,no,True
US,AD079VP6DH,yes,
US,AD007Y6P7Z,yes,
US,AD0888VAVS,yes,
US,AD000UH8NI,yes,
US,AD08MTEY6R,yes,
US,AD00HQM0UM,yes,
US,AD008QVZVA,no,True
US,AD007X6PF8,yes,
US,AD00CXAEDH,yes,
US,AD078DJ8HM,yes,
US,AD0000AZJX,yes,
US,AD008VKR0J,yes,
US,AD0088FY78,yes,
US,AD00CI8OA,yes,
US,AD07FZFGX,yes,
US,AD0888U8TO,yes,
US,AD098XV9R8,yes,
US,AD088FUZ8N,yes,
US,AD07HMNXCC,yes,
US,AD08VN8H8R,yes,
US,AD00878FEC,yes,
US,AD07CVJLPN,yes,
US,AD08GK8SN9,yes,
US,AD00KJTYZK,yes,
US,AD07K88GRD,yes,
US,AD07XZ887,yes,
US,AD00PRGU6A,yes,
US,AD07QD8VLR,yes,
US,AD08F78HF8,yes,
US,AD08N088M9,yes,
US,AD008KWUHX,yes,
US,AD07V8R8QH,yes,
US,AD08NCJSM8,yes,
US,AD08M8QMQ8,yes,
US,AD008PMQMK,yes,
US,AD00IZF0LC,yes,
US,AD08IP88CD,no,True
US,AD07NMWPJ8,yes,
US,AD08KTL98N,yes,
US,AD07FGSF88,yes,
US,AD07X8SRP8,yes,
US,AD000WFKTW,yes,
US,AD07X8JCH,yes,
US,AD07S88DQ8,yes,
US,AD078ZN8M6,yes,
US,AD07CKK8Z7,yes,
US,AD00068PCT,yes,
US,AD086MH8JH,yes,
US,AD08QXX6VC,yes,
US,AD008KSNW8,yes,
US,AD07VC8CLS,yes,
US,AD07WHL98X,yes,
US,AD07K77SH7,no,True
US,AD086CJD8L,yes,
US,AD00JUJ8E0,yes,
US,AD008GHYO8,yes,
US,AD07H7W8GW,yes,
US,AD08MF989D,yes,
US,AD078C8HGV,yes,
US,AD08K8NZ68,yes,
US,AD08HWVS8W,yes,
US,AD08YKD688,yes,
US,AD008O8E80,yes,
US,AD079GQSV8,yes,
US,AD08DGNGDF,yes,
US,AD07FX8LW8,yes,
US,AD07QJFYK9,yes,
US,AD07Z77WYK,yes,
US,AD06XWKNDF,yes,
US,AD078LT888,yes,
US,AD000GG8HO,yes,
US,AD0788P8SS,yes,
US,AD00VZ8NJH,yes,
US,AD08MTC8X9,yes,
US,AD000X8DME,yes,
US,AD0898888Q,yes,
US,AD07DYLRCG,yes,
US,AD088LLGFW,no,True
US,AD06XGLWG8,yes,
US,AD08DTV8JD,yes,
US,AD08X8FNVC,yes,
US,AD076H8J9T,yes,
US,AD078PYSCN,yes,
US,AD008EQ8SF,yes,
US,AD07T8KG6W,yes,
US,AD089DR89T,yes,
US,AD000KC009,yes,
US,AD088XVVPQ,yes,
US,AD00V8PYUK,yes,
US,AD008VFI80,yes,
US,AD078J88MJ,yes,
US,AD008LTHR7,yes,
US,AD08888KQN,yes,
US,AD08988807,yes,
US,AD00KCWYPS,yes,
US,AD07G9PSQ7,yes,
US,AD08N8LL68,yes,
US,AD079FNXHF,yes,
US,AD07Y88WHG,yes,
US,AD008EQ8H6,yes,
US,AD008N78PO,yes,
US,AD07YYQD8,yes,
US,AD07C88ZQQ,yes,
US,AD08788SM8,no,True
US,AD00ZZCMFD,yes,
US,AD00JFV8X8,yes,
US,AD00TFMXGE,yes,
US,AD08KOPMAA,yes,
US,AD07QQFHQ8,yes,
US,AD086ZMYLY,yes,
US,AD0888Z876,yes,
US,AD089VRHHZ,yes,
US,AD08788N8S,yes,
US,AD0886M8ZI,yes,
US,AD000VDR8L,yes,
US,AD07XC988J,yes,
US,AD078VDJ7K,yes,
US,AD07W8HXM8,yes,
US,AD08Q788PJ,yes,
US,AD008HMF9L,yes,
US,AD08KXSELD,yes,
US,AD00L8G88D,yes,
US,AD089VJ8RX,yes,
US,AD07G7X786,yes,
US,AD07F8QKYC,yes,
US,AD008HYC88,yes,
US,AD0888C8YG,no,True
US,AD078ZP9VW,yes,
US,AD08QLCXJD,yes,
US,AD08GJDIA8,no,True
US,AD06Y88CCG,yes,
US,AD07888K8D,yes,
US,AD098CTQ9M,yes,
US,AD07LCZ7FK,yes,
US,AD00KTCW8V,yes,
US,AD0788G8NP,yes,
US,AD00J0D7SR,yes,
US,AD078DDZM8,yes,
US,AD07C8KY8M,yes,
US,AD008R9GJ8,yes,
US,AD07VX987W,yes,
US,AD0798VV8K,yes,
US,AD08CO8J9S,no,True
US,AD088TJ68T,yes,
US,AD0788CC88,yes,
US,AD08MPOF6,yes,
US,AD06XDS7W8,yes,
US,AD098JXCZP,yes,
US,AD00E8MREN,yes,
US,AD08JO8KW8,yes,
US,AD00DSOU8R,yes,
US,AD00C8DH8K,yes,
US,AD07K8KGRC,yes,
US,AD08N0UHCW,yes,
US,AD07JG87X8,yes,
US,AD078TY6KH,yes,
US,AD07TZ8WM6,yes,
US,AD098R88JT,yes,
US,AD07YVJMP7,no,True
US,AD077Q88TN,yes,
US,AD0086FWFD,yes,
US,AD0088066V,yes,
US,AD08PK8GL7,yes,
US,AD07NKQ8P8,yes,
US,AD08RJTL88,yes,
US,AD08ZCX688,yes,
US,AD006IM8GE,yes,
US,AD08M80868,yes,
US,AD07F6G88R,yes,
US,AD08N08APQ,no,True
US,AD00NMDPOR,yes,
US,AD07W9HX8M,yes,
US,AD000JOE88,yes,
US,AD0789GRD8,yes,
US,AD008M8EVU,yes,
US,AD08MZEEFN,yes,
US,AD088T8KDM,yes,
US,AD086S88M8,yes,
US,AD07D9XHRX,yes,
US,AD08DLJT68,yes,
US,AD07FN6NCF,yes,
US,AD00GVHMSC,yes,
US,AD08FYXCQ8,yes,
US,AD07RSVCH8,yes,
US,AD08H8NU8W,yes,
US,AD08JRDFKY,yes,
US,AD078886XM,yes,
US,AD07RRRV8C,yes,
US,AD000ZNWZ8,yes,
US,AD07S8F8VW,yes,
US,AD00I8VW6K,yes,
US,AD08MZALRV,yes,
US,AD07P887K8,yes,
US,AD008HTR8E,no,True
US,AD07PJZZS8,yes,
US,AD07XKF8RM,yes,
US,AD080OVNPE,yes,
US,AD00KXARZE,yes,
US,AD077QK9W8,no,True
US,AD007CRC8P,yes,
US,AD08HVTWRN,yes,
US,AD08N0R88X,yes,
US,AD000KGCIZ,no,True
US,AD0798DVT6,yes,
US,AD0968688S,yes,
US,AD07RVP8SY,yes,
US,AD07W689DG,yes,
US,AD08D8QPWC,yes,
US,AD07HNFF78,yes,
US,AD07MJL8NX,yes,
US,AD07DC9JF8,yes,
US,AD079HXLZG,yes,
US,AD008680NN,yes,
US,AD006JCUGV,yes,
US,AD008L8YLJ,yes,
US,AD08NAUNTR,yes,
US,AD08CX9NF8,yes,
US,AD096SJ98C,no,True
US,AD07CP8QPH,yes,
US,AD08NJ7NKP,yes,
US,AD0009X89W,yes,
US,AD07P8DQDH,yes,
US,AD006XO6LJ,yes,
US,AD00G97XHW,yes,
US,AD07QV8F6J,yes,
US,AD0088CE8K,yes,
US,AD08GRV898,yes,
US,AD0988TR88,no,True
US,AD08788X8N,yes,
US,AD00M888RJ,yes,
US,AD088X8ZTN,yes,
US,AD07DM8QRF,yes,
US,AD07QG7WT8,yes,
US,AD0889RYKJ,yes,
US,AD008H8G98,yes,
US,AD076C6PXK,yes,
US,AD088AX6RO,yes,
US,AD08ZCGZ6W,yes,
US,AD00YR9JWA,yes,
US,AD08P88JKV,yes,
US,AD008H8NE7,yes,
US,AD07L6W87X,yes,
US,AD078DMQQ8,yes,
US,AD08RTF78F,yes,
US,AD00098898,yes,
US,AD00006IC8,yes,
US,AD00WOSEKP,no,False
US,AD008988GA,yes,
US,AD08VF9VYL,yes,
US,AD076YR9JP,yes,
US,AD08GL8VH6,yes,
US,AD00KWAETW,yes,
US,AD08HH9ZJA,yes,
US,AD0088HWV9,yes,
US,AD008OU6UG,yes,
US,AD097LF88H,yes,
US,AD008YA8WZ,yes,
US,AD0088INY8,yes,
US,AD000VS9QJ,yes,
US,AD09D78RFC,yes,
US,AD08NFV9F7,yes,
US,AD08898F6Y,yes,
US,AD088WTWFZ,yes,
US,AD07NQD8TM,yes,
US,AD07JQG8WF,yes,
US,AD07JMSP8V,yes,
US,AD000WFKUO,yes,
US,AD08AJTR67,yes,
US,AD008ZNRDT,yes,
US,AD07YFZ8FJ,yes,
US,AD07QMQ8H8,yes,
US,AD08DWNPLR,yes,
US,AD07MFSLS8,yes,
US,AD08W8SN88,yes,
US,AD08C8R8N,yes,
US,AD000CPI8Z,yes,
US,AD078868F8,yes,
US,AD09DKX88D,yes,
US,AD0899C8EO,no,True
US,AD008DN8WJ,yes,
US,AD08G7M809,yes,
US,AD0090AXS8,yes,
US,AD00ASSEMM,yes,
US,AD098SV878,yes,
US,AD00FXKTG6,yes,
US,AD008HMRQF,yes,
US,AD078ZDTYF,no,False
US,AD000QM7AO,yes,
US,AD07Z9PPYS,yes,
US,AD006W6YHV,yes,
US,AD008UA8PY,yes,
US,AD098XQFGK,yes,
US,AD0988QLPP,yes,
US,AD088AUQVC,yes,
US,AD079DH8YG,yes,
US,AD07DRMQ8Q,yes,
US,AD07N8Z8SQ,no,True
US,AD08XK88FK,yes,
US,AD08XJVHL9,yes,
US,AD08EINA76,yes,
US,AD08IT9NLH,yes,
US,AD078F8MK9,yes,
US,AD076HFQT6,yes,
