region,ad_id,is_success,is_sever
GB,AD07XPPXL8,yes,
GB,AD07S8C8D8,yes,
GB,AD0088E68A,yes,
GB,AD087VMUOR,no,True
GB,AD098TXYM8,yes,
GB,AD09878PXJ,yes,
GB,AD0088PSDM,yes,
GB,AD07FDCQ8H,yes,
GB,AD0888NZ6Q,no,True
GB,AD08VWLX8N,yes,
GB,AD00SFZYXA,yes,
GB,AD078NLHRT,yes,
GB,AD07JFLKW7,yes,
GB,AD009GDY8O,yes,
GB,AD09DKZJFY,yes,
GB,AD08YRS68H,yes,
GB,AD07DDYDP8,yes,
GB,AD0789QSH8,yes,
GB,AD0768RZ8G,yes,
GB,AD08HN88FW,yes,
GB,AD07DNDWL8,yes,
GB,AD08Y78Q88,no,True
GB,AD078ZC8KQ,yes,
GB,AD078G88N8,yes,
GB,AD06XZJZV8,yes,
GB,AD08F8LVDS,yes,
GB,AD08M68RD8,yes,
GB,AD06Y8XWJD,no,True
GB,AD09CYV9DC,yes,
GB,AD008RYWF8,yes,
GB,AD008EF88L,yes,
GB,AD008HWEZG,yes,
GB,AD08MUHRIA,yes,
GB,AD08ML8PVQ,yes,
GB,AD0088YGMW,yes,
GB,AD006UROLS,yes,
GB,AD098NGYJ7,yes,
GB,AD08NXH888,yes,
GB,AD0088AK8S,yes,
GB,AD008O6Z88,yes,
GB,AD08NF7CSC,yes,
GB,AD07CWK8S8,yes,
GB,AD08KJNK8C,yes,
GB,AD08MEG8LK,yes,
GB,AD08WRDVYT,yes,
GB,AD07ZZW7QC,yes,
GB,AD087ZLXME,yes,
GB,AD0878TZQF,yes,
GB,AD0888AIZ6,yes,
GB,AD07F8HZVF,yes,
GB,AD000I8VXN,yes,
GB,AD08TRHGMM,no,True
GB,AD078F88ZJ,yes,
GB,AD00JWJJSH,yes,
GB,AD08JQM88P,yes,
GB,AD00FQNG89,yes,
GB,AD08F8V0DG,no,True
GB,AD000KU88Z,no,True
GB,AD07TYLT8H,yes,
GB,AD07DJ8SS8,yes,
GB,AD007F8TU8,yes,
GB,AD00TSROEM,no,True
GB,AD06XGL8KH,yes,
GB,AD08C8YSPP,no,True
GB,AD07Z9W8LV,yes,
GB,AD088YKL6H,yes,
GB,AD00EVTE9W,yes,
GB,AD008NL888,yes,
GB,AD088X0D80,yes,
GB,AD078GRYN8,yes,
GB,AD099KM8Y8,yes,
GB,AD08HGQ8RH,yes,
GB,AD00D88GLN,yes,
GB,AD06XDLN8J,yes,
GB,AD08HRKN87,yes,
GB,AD07ZZVZL8,yes,
GB,AD08XJT8XF,yes,
GB,AD098VH8SF,yes,
GB,AD07H88WXL,yes,
GB,AD07VFHSJP,yes,
GB,AD006OGET9,yes,
GB,AD078787G8,yes,
GB,AD08MXXOQT,yes,
GB,AD07HMTL98,yes,
GB,AD07TSZVNR,yes,
GB,AD00RAL88A,yes,
GB,AD096V8DNG,yes,
GB,AD07GTWD7Z,yes,
GB,AD08NK8Y8T,yes,
GB,AD08N0WYRF,yes,
GB,AD09GCXY8X,yes,
GB,AD07X8VXTK,yes,
GB,AD08QW8F97,yes,
GB,AD08JJX9M7,yes,
GB,AD086N9P6Y,yes,
GB,AD08GK9D68,yes,
GB,AD088NFRY8,yes,
GB,AD00KG68U7,yes,
GB,AD06XFHP9X,yes,
GB,AD07GFLKX7,yes,
GB,AD008IT8F6,yes,
GB,AD0898SHQZ,yes,
GB,AD0878H88D,yes,
GB,AD07CH8WZJ,yes,
GB,AD08INHJ8F,yes,
GB,AD08WM896C,yes,
GB,AD008989EA,yes,
GB,AD08XV8N8J,yes,
GB,AD008RYU8A,yes,
GB,AD098WK7KP,yes,
GB,AD00C8NUR6,no,True
GB,AD088WTNWP,no,True
GB,AD08JQPFFZ,yes,
GB,AD08DKJ88C,yes,
GB,AD00HEDCVP,yes,
GB,AD08LQQNHN,yes,
GB,AD00887UFT,no,True
GB,AD07MM8LRD,no,True
GB,AD0808Y8NS,yes,
GB,AD08WQY6XL,yes,
GB,AD07P88MSQ,yes,
GB,AD08NCE8ZX,no,True
GB,AD0789V8MX,yes,
GB,AD0878F6VK,yes,
GB,AD07CV9ZTW,yes,
GB,AD0078UC8F,no,False
GB,AD08CN7WWG,no,False
GB,AD09W8DMM8,yes,
GB,AD0088CE7Y,yes,
GB,AD00MCHH9R,no,False
GB,AD08WHKXNF,yes,
GB,AD00GFP8TS,yes,
GB,AD078GYYTZ,yes,
GB,AD09GF8W8Z,yes,
