region,ad_id,is_success,is_sever
JP,AD08PP8D66,yes,
JP,AD07TH7889,yes,
JP,AD078CDHXN,yes,
JP,AD098Y9MMF,yes,
JP,AD007RLHLE,yes,
JP,AD08MAYMCN,no,True
JP,AD08M08R88,yes,
JP,AD08K8PXJP,no,True
JP,AD008I0I8Z,yes,
JP,AD099RXL7Q,yes,
JP,AD07P9L8GS,yes,
JP,AD008XXWC9,yes,
JP,AD078V8QSZ,yes,
JP,AD078PW8ZT,yes,
JP,AD088E8D98,no,False
JP,AD08MR6LG8,yes,
JP,AD07C6RJGF,yes,
JP,AD07Y8Z7CQ,yes,
JP,AD00N9RRVN,yes,
JP,AD08GM8HYZ,yes,
JP,AD09FH8F7K,yes,
JP,AD07ZNHCV8,yes,
JP,AD079QRQTC,yes,
JP,AD078SLDNJ,no,False
JP,AD07WLKHTR,yes,
JP,AD088W68,yes,
JP,AD006KRXIJ,no,False
JP,AD00MTHUY8,yes,
JP,AD078XJ7WP,no,False
JP,AD07Z98TV6,yes,
JP,AD08WPHVNN,yes,
JP,AD098PYLPP,yes,
JP,AD0088UK06,yes,
JP,AD008URQ8K,yes,
JP,AD009SJK8P,yes,
JP,AD08F8MLWC,yes,
JP,AD06X88GDD,yes,
JP,AD086L7CXW,yes,
JP,AD00FNTO8M,no,True
JP,AD07G8RX6C,yes,
JP,AD077KHP8J,yes,
JP,AD07WT998J,yes,
JP,AD078T968R,yes,
JP,AD00I8KQJC,no,True
JP,AD07H8T8N8,yes,
JP,AD088QYKMT,yes,
JP,AD08J6FCF8,yes,
JP,AD0888H9J8,no,True
JP,AD00KL88RJ,yes,
JP,AD00I9ZOO7,yes,
JP,AD008Y9IZD,no,True
JP,AD088GWUJ8,yes,
JP,AD07XGG8FV,yes,
JP,AD08MZ8PR8,yes,
JP,AD07NPXD8X,yes,
JP,AD008EGJH8,yes,
JP,AD08C8K86R,yes,
JP,AD07DQRDNY,yes,
JP,AD08LWLI89,no,True
JP,AD06W8M68K,no,False
JP,AD07L6VMFQ,yes,
JP,AD088NFLRY,yes,
JP,AD07K88M8D,no,False
JP,AD088DVOWY,yes,
JP,AD07YDCSN8,yes,
JP,AD079SWJMV,yes,
JP,AD088QWTZP,yes,
JP,AD08KT8T6S,yes,
JP,AD07P78K7R,yes,
JP,AD07S8DHLW,yes,
JP,AD006ZFQ80,yes,
JP,AD079Z8HDS,yes,
JP,AD88978888,no,False
JP,AD07PFFMQ6,yes,
JP,AD08VDGVS7,yes,
JP,AD08LHFDM6,yes,
JP,AD078WMK9Y,yes,
JP,AD088G7PV9,yes,
JP,AD08F9TGT8,no,True
