week_id,ad_id,requester,region,recommendation_type,rec_provider
2021-week_42,AD08WQQJHZ,RelayFoods,JP,Qality,UserPopQ
2021-week_42,AD008P7LUU,RelayFoods,JP,Qality,UserPopQ
2021-week_42,AD09C88KJ6,Fry Multimedia,JP,Qality,DNNQ
2021-week_42,AD08RDR96S,Search Million Culture,JP,Qality,DNNQ
2021-week_42,AD08JHM88Z,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD079688FV,RelayFoods,JP,Qality,UserPopQ
2021-week_42,AD07N8S879,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD008ST878,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD008NQZO8,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD00QJVST8,RelayFoods,JP,Qality,UserPopQ
2021-week_42,AD00IK7HAX,Search Million Culture,JP,Qality,DNNQ
2021-week_42,AD00HJ8LWR,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD08I9CWVG,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD00RUNLNW,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD08QZHK8M,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD008MH8VN,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD07RSY88J,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD00FYGS88,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD07Y88D8J,RelayFoods,JP,Qality,UserPopQ
2021-week_42,AD00AQQHEE,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD0870ZLDW,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD07V8LVWV,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD07RPMSDH,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD078X6KKG,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD07888PCX,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD006HZM8W,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD09DCW8J6,Search Million Culture,JP,Qality,DNNQ
2021-week_42,AD08JHX8V8,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD00KK9HIK,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD08N888RX,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD08M9ET8J,Search Million Culture,JP,Qality,DNNQ
2021-week_42,AD00V8KZUF,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD08TCL68Z,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD008NZX8Y,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD07NF88R8,Search Million Culture,JP,Qality,DNNQ
2021-week_42,AD08CY8QQ8,RelayFoods,JP,Qality,UserPopQ
2021-week_42,AD0776P88C,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD008LGW9U,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD008SSXYA,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD000FQNH8,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD00FPIKWQ,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD00KCHJ89,RelayFoods,JP,Qality,UserPopQ
2021-week_42,AD09G9HGD8,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD008OCQVH,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD08VDN87R,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD079H88L8,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD0868C8XD,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD078MWTKT,Tab Solutions,JP,Qality,UserPopQ
2021-week_42,AD07YF8F8Y,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD076JGZDF,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD00TYE6AJ,Tab Solutions,JP,Qality,DNNQ
2021-week_42,AD096M8R7N,Search Million Culture,JP,Qality,DNNQ
2021-week_42,AD07FR88GM,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD07QZ8XGF,Tab Solutions,JP,Qality,DNNQ
2021-week_42,AD008VQGSE,RelayFoods,JP,Qality,UserPopQ
2021-week_42,AD088PXZFR,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD000IGSIS,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD00N0PRN8,RelayFoods,JP,Qality,UserPopQ
2021-week_42,AD08XYDFD7,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD088HZW8,LocalVox Media,JP,Yield,DNNY
2021-week_42,AD0798DC88,RelayFoods,JP,Qality,UserPopQ
2021-week_42,AD07G8668F,Search Million Culture,JP,Qality,UserPopQ
2021-week_42,AD0888HHVY,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD00QLJX08,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD088R0G9I,Search Million Culture,JP,Qality,DNNQ
2021-week_42,AD098Y8P8H,Search Million Culture,JP,Qality,DNNQ
2021-week_42,AD06WGNSS6,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD00VLN8FN,Tab Solutions,JP,Qality,UserPopQ
2021-week_42,AD07PLSG8X,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD00CP8EZQ,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD08X8CHZW,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD07HGVRHS,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD08MT889S,Search Million Culture,JP,Qality,UserPopQ
2021-week_42,AD088CW9HS,RelayFoods,JP,Qality,UserPopQ
2021-week_42,AD0786ZN8H,Search Million Culture,JP,Qality,DNNQ
2021-week_42,AD07CF7X8J,RelayFoods,JP,Qality,UserPopQ
2021-week_42,AD078JXRJY,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD088CQTF8,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD00H9QZY8,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD008NLA08,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD07S77D6C,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD00JUDTJE,RelayFoods,JP,Qality,UserPopQ
2021-week_42,AD008888QJ,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD07X68JT8,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD08RLNJ8N,Tab Solutions,JP,Qality,UserPopQ
2021-week_42,AD08LZ8RGV,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD008GI8EY,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD07TJG888,RelayFoods,JP,Qality,DNNQ
2021-week_42,AD06X9F6Q8,RelayFoods,JP,Qality,DNNQ
