week_id,ad_id,requester,region,recommendation_type,rec_provider
2021-week_42,AD007HYR88,Extreme DA,US,Yield,UserPopY
2021-week_42,AD08ZT8ZRF,Fancy,US,Qality,DNNQ
2021-week_42,AD08JYQ8KN,Fancy,US,Qality,DNNQ
2021-week_42,AD08R9S8DW,Extreme DA,US,Yield,DNNY
2021-week_42,AD08HZ888X,Sensor Tower,US,Qality,DNNQ
2021-week_42,AD008UEKH9,Fancy,US,Qality,DNNQ
2021-week_42,AD098PWX9P,Extreme DA,US,Yield,RNNY
2021-week_42,AD09KX87NW,Extreme DA,US,Yield,RNNY
2021-week_42,AD077RPXSF,Extreme DA,US,Yield,DNNY
2021-week_42,AD07G8NKZL,Extreme DA,US,Yield,DNNY
2021-week_42,AD008NGOLG,Tab Solutions,US,Qality,ManualQ
2021-week_42,AD07HFFKG9,Extreme DA,US,Yield,RuleBasedY
2021-week_42,AD086SZ8XG,Fancy,US,Qality,RNNQ
2021-week_42,AD07Q68VYZ,Extreme DA,US,Yield,DNNY
2021-week_42,AD008FJXGD,RelayFoods,US,Qality,UserPopQ
2021-week_42,AD087MVX8T,Extreme DA,US,Yield,XGBY
2021-week_42,AD08RD8Z6D,Extreme DA,US,Yield,DNNY
2021-week_42,AD07DM7FV8,Fancy,US,Qality,XGBQ
2021-week_42,AD000HC8MU,Fancy,US,Qality,DNNQ
2021-week_42,AD00Y8MP8G,Fancy,US,Qality,ManualQ
2021-week_42,AD00Y8MP8G,Fancy,US,Qality,ManualQ
2021-week_42,AD078GSXTM,Search Million Culture,US,Qality,RNNQ
2021-week_42,AD0988S8J8,Search Million Culture,US,Qality,XGBQ
2021-week_42,AD07KXSY8L,Extreme DA,US,Yield,DNNY
2021-week_42,AD0768CXV,Extreme DA,US,Yield,RNNY
2021-week_42,AD079VP6DH,Fancy,US,Qality,ManualQ
2021-week_42,AD079VP6DH,Tab Solutions,US,Qality,ManualQ
2021-week_42,AD08N678MZ,Extreme DA,US,Yield,RuleBasedY
2021-week_42,AD006GAZXY,Extreme DA,US,Yield,RuleBasedY
2021-week_42,AD08NVTQVS,Extreme DA,US,Yield,DNNY
2021-week_42,AD078ZWM88,Search Million Culture,US,Qality,RNNQ
2021-week_42,AD0000W08X,Extreme DA,US,Yield,RuleBasedY
2021-week_42,AD0088JUNX,Extreme DA,US,Yield,RNNY
2021-week_42,AD08L8Q78Q,Fancy,US,Qality,DNNQ
2021-week_42,AD00OYPFC8,Fancy,US,Qality,ManualY
2021-week_42,AD07DKN89N,RelayFoods,US,Qality,DNNQ
2021-week_42,AD008YK8KS,Tab Solutions,US,Qality,ManualQ
2021-week_42,AD008YK8KS,Fancy,US,Qality,ManualQ
2021-week_42,AD008YK8KS,Fancy,US,Qality,ManualQ
2021-week_42,AD097NS8DK,Extreme DA,US,Yield,DNNY
2021-week_42,AD08888888,Fancy,US,Yield,BooksY
2021-week_42,AD08888888,Extreme DA,US,Yield,BooksY
2021-week_42,AD08CXW8Y9,Extreme DA,US,Yield,UserPopY
2021-week_42,AD00KGC8LI,Fancy,US,Qality,DNNQ
2021-week_42,AD08HGL888,Extreme DA,US,Yield,DNNY
2021-week_42,AD079V8CKD,Fancy,US,Qality,ManualQ
2021-week_42,AD079V8CKD,Fancy,US,Qality,ManualQ
2021-week_42,AD08AWJNP8,Fancy,US,Qality,DNNQ
2021-week_42,AD07YNJVTN,Search Million Culture,US,Qality,UserPopQ
2021-week_42,AD0898HMJJ,Search Million Culture,US,Qality,DNNQ
2021-week_42,AD07TFJ8RT,Extreme DA,US,Yield,RNNY
2021-week_42,AD008ZH6XY,Bizanga,US,Yield,DNNY
2021-week_42,AD0789JMXD,Extreme DA,US,Yield,DNNY
2021-week_42,AD088FDCVN,Extreme DA,US,Yield,UserPopY
2021-week_42,AD088KL8WT,Extreme DA,US,Yield,DNNY
2021-week_42,AD08N8TRF8,Fancy,US,Qality,RNNQ
2021-week_42,AD07Q98SF,Fancy,US,Qality,DNNQ
2021-week_42,AD08DWN888,Extreme DA,US,Yield,DNNY
2021-week_42,AD07N8878G,Extreme DA,US,Yield,UserPopY
2021-week_42,AD098KTPG6,Extreme DA,US,Yield,DNNY
2021-week_42,AD00887YL0,Extreme DA,US,Yield,DNNY
2021-week_42,AD86089868,Extreme DA,US,Yield,BooksY
2021-week_42,AD08H68DVM,RelayFoods,US,Qality,DNNQ
2021-week_42,AD08XPRVY8,Extreme DA,US,Yield,XGBY
2021-week_42,AD008PMQMK,Fancy,US,Qality,RNNQ
2021-week_42,AD08C8Q78N,Extreme DA,US,Yield,RNNY
2021-week_42,AD08LWV7VW,Extreme DA,US,Yield,DNNY
2021-week_42,AD098Q99KS,Extreme DA,US,Yield,RuleBasedY
2021-week_42,AD008HG9ES,Tab Solutions,US,Qality,ManualQ
2021-week_42,AD008HG9ES,Fancy,US,Qality,ManualQ
2021-week_42,AD0986WWV8,Extreme DA,US,Yield,RNNY
2021-week_42,AD07G8YR8P,RelayFoods,US,Qality,DNNQ
2021-week_42,AD088AX6RO,Fancy,US,Qality,DNNQ
2021-week_42,AD08DP78YJ,RelayFoods,US,Qality,RNNQ
2021-week_42,AD07N8TCJW,Extreme DA,US,Yield,DNNY
2021-week_42,AD078XX8DT,Extreme DA,US,Yield,DNNY
2021-week_42,AD0008UPF8,Fancy,US,Qality,DNNQ
2021-week_42,AD07Y8PSP6,Extreme DA,US,Yield,DNNY
2021-week_42,AD08A7N9KP,Fancy,US,Qality,XGBQ
2021-week_42,AD08HDJ8QY,Extreme DA,US,Yield,RuleBasedY
2021-week_42,AD08DLT8R8,Search Million Culture,US,Qality,DNNQ
2021-week_42,AD07DWJYPR,Tab Solutions,US,Qality,RNNQ
2021-week_42,AD08N78SAC,Fancy,US,Qality,RNNQ
2021-week_42,AD0978J8ZF,Extreme DA,US,Yield,RuleBasedY
2021-week_42,AD088DZH87,MoJoe Brewing Company,US,Yield,RNNY
2021-week_42,AD078S8PK8,Extreme DA,US,Yield,DNNY
2021-week_42,AD08PXMMSM,Fancy,US,Qality,RNNQ
2021-week_42,AD09CDMQQN,RelayFoods,US,Qality,DNNQ
2021-week_42,AD07M86SCT,Extreme DA,US,Yield,DNNY
2021-week_42,AD08FRTPHK,Search Million Culture,US,Qality,RNNQ
2021-week_42,AD0078NMV6,Fancy,US,Qality,DNNQ
2021-week_42,AD006VAZYN,Fancy,US,Qality,DNNQ
2021-week_42,AD07N9NCFJ,Fancy,US,Qality,XGBQ
2021-week_42,AD088VVXV8,Search Million Culture,US,Qality,XGBQ
2021-week_42,AD08KW88WS,Extreme DA,US,Yield,BooksY
2021-week_42,AD008SUVMU,Extreme DA,US,Yield,DNNY
2021-week_42,AD0786QNDS,Extreme DA,US,Yield,RuleBasedY
2021-week_42,AD008UE96K,Fancy,US,Qality,ManualQ
2021-week_42,AD096SV8SJ,Extreme DA,US,Yield,RNNY
2021-week_42,AD06XZLQHL,Search Million Culture,US,Qality,XGBQ
2021-week_42,AD07VCQMR8,Extreme DA,US,Yield,RNNY
2021-week_42,AD08S788YK,Search Million Culture,US,Qality,XGBQ
2021-week_42,AD08MRX7Z6,Fancy,US,Qality,UserPopQ
2021-week_42,AD08TG8W8Q,Search Million Culture,US,Qality,DNNQ
2021-week_42,AD076YR9JP,Fancy,US,Qality,ManualQ
2021-week_42,AD076YR9JP,Tab Solutions,US,Qality,ManualQ
2021-week_42,AD00QT8VVD,Extreme DA,US,Yield,RuleBasedY
2021-week_42,AD00LPE8EZ,Fancy,US,Qality,DNNQ
2021-week_42,AD0988CPG7,Extreme DA,US,Yield,RNNY
2021-week_42,AD088688ZZ,Extreme DA,US,Yield,UserPopY
2021-week_42,AD00UXHRDD,Search Million Culture,US,Qality,XGBQ
2021-week_42,AD0868C89P,Extreme DA,US,Yield,BooksY
2021-week_42,AD07SGJKRJ,Extreme DA,US,Yield,RuleBasedY
2021-week_42,AD07PF8Y88,Extreme DA,US,Yield,ManualY
2021-week_42,AD0876T88G,Fancy,US,Qality,DNNQ
2021-week_42,AD098LKJFR,Extreme DA,US,Yield,RuleBasedY
2021-week_42,AD07YLXT7K,Extreme DA,US,Yield,DNNY
2021-week_42,AD008EMHV8,Tab Solutions,US,Qality,RNNQ
2021-week_42,AD07TXRHM6,Mission Street Manufacturing,US,Qality,DNNQ
2021-week_42,AD096WWPTJ,Extreme DA,US,Yield,DNNY
2021-week_42,AD0086OZ7X,Fancy,US,Qality,DNNQ
2021-week_42,AD08LPRKZR,Extreme DA,US,Yield,RNNY
2021-week_42,AD0887RK8T,Fancy,US,Qality,UserPopQ
2021-week_42,AD07HRZ8ML,Extreme DA,US,Yield,XGBY
2021-week_42,AD007CRC8P,Fancy,US,Qality,ManualQ
2021-week_42,AD007CRC8P,Tab Solutions,US,Qality,ManualQ
2021-week_42,AD007CRC8P,Tab Solutions,US,Qality,ManualQ
2021-week_42,AD07P9HG68,Extreme DA,US,Yield,RuleBasedY
2021-week_42,AD07L98HFG,Fancy,US,Qality,DNNQ
2021-week_42,AD07L98HFG,Tab Solutions,US,Qality,DNNQ
2021-week_42,AD09CPP889,Extreme DA,US,Yield,DNNY
2021-week_42,AD07X87VK8,MoJoe Brewing Company,US,Yield,ManualY
2021-week_42,AD07L6KGJ8,Extreme DA,US,Yield,RuleBasedY
2021-week_42,AD07888FD8,Extreme DA,US,Yield,DNNY
2021-week_42,AD07HWZH89,Extreme DA,US,Yield,RNNY
2021-week_42,AD08MH7R8H,Extreme DA,US,Yield,DNNY
2021-week_42,AD88980788,Extreme DA,US,Yield,BooksY
2021-week_42,AD0888SYV8,Fancy,US,Qality,DNNQ
2021-week_42,AD07X8C67C,Extreme DA,US,Yield,DNNY
2021-week_42,AD07X8C67C,Extreme DA,US,Yield,DNNY
2021-week_42,AD07G9YLWR,Extreme DA,US,Yield,UserPopY
2021-week_42,AD06Y89LS8,Extreme DA,US,Yield,DNNY
2021-week_42,AD097PNS9T,Extreme DA,US,Yield,BooksY
2021-week_42,AD07WFNYQH,Extreme DA,US,Yield,RNNY
2021-week_42,AD088T78G9,Extreme DA,US,Yield,RuleBasedY
2021-week_42,AD00KRYLG8,Extreme DA,US,Yield,DNNY
2021-week_42,AD008P9XG8,RelayFoods,US,Qality,RNNQ
2021-week_42,AD07NV8CC8,Extreme DA,US,Yield,RNNY
2021-week_42,AD08GWSN8P,Extreme DA,US,Yield,DNNY
2021-week_42,AD07H7J8PQ,Extreme DA,US,Yield,DNNY
2021-week_42,AD087WGFMS,Extreme DA,US,Yield,RNNY
2021-week_42,AD07G888D6,Extreme DA,US,Yield,XGBY
2021-week_42,AD00KQDZE8,Extreme DA,US,Yield,UserPopY
2021-week_42,AD07GTYHFZ,Fancy,US,Qality,DNNQ
2021-week_42,AD08D9F6N8,Extreme DA,US,Yield,RuleBasedY
2021-week_42,AD087DP878,Extreme DA,US,Yield,RNNY
2021-week_42,AD08N8YQS0,Fancy,US,Qality,DNNQ
2021-week_42,AD008MGAID,Tab Solutions,US,Qality,ManualQ
