week_id,ad_id,requester,region,recommendation_type,rec_provider
2021-week_44,AD089D8988,RelayFoods,DE,Qality,DNNQ
2021-week_44,AD08M0MP0L,MoJoe Brewing Company,DE,Yield,DNNY
2021-week_44,AD08888TE8,Search Million Culture,DE,Qality,UserPopQ
2021-week_44,AD088ZVXZ9,MoJoe Brewing Company,DE,Yield,UserPopY
2021-week_44,AD07R8GRPW,Search Million Culture,DE,Qality,DNNQ
2021-week_44,AD00E8X88T,RelayFoods,DE,Qality,DNNQ
2021-week_44,AD08PV8ZPM,RelayFoods,DE,Qality,UserPopQ
2021-week_44,AD008DTLWQ,RelayFoods,DE,Qality,UserPopQ
2021-week_44,AD07VYXYCR,Search Million Culture,DE,Qality,DNNQ
2021-week_44,AD00E6S0IN,RelayFoods,DE,Qality,UserPopQ
2021-week_44,AD08X6S8TH,RelayFoods,DE,Qality,DNNQ
2021-week_44,AD00WUD8V8,RelayFoods,DE,Qality,DNNQ
2021-week_44,AD008FA7HE,Fry Multimedia,DE,Qality,DNNQ
2021-week_44,AD07MDTD78,RelayFoods,DE,Qality,DNNQ
2021-week_44,AD00M88QHT,RelayFoods,DE,Qality,UserPopQ
2021-week_44,AD07JNKFQC,RelayFoods,DE,Qality,UserPopQ
2021-week_44,AD06XKQHJQ,Search Million Culture,DE,Qality,UserPopQ
2021-week_44,AD008AWG9Q,MoJoe Brewing Company,DE,Yield,DNNY
2021-week_44,AD08F7RKJW,RelayFoods,DE,Qality,UserPopQ
2021-week_44,AD097GW9XP,Search Million Culture,DE,Qality,DNNQ
2021-week_44,AD08888HC7,RelayFoods,DE,Qality,UserPopQ
2021-week_44,AD008S80VA,RelayFoods,DE,Qality,UserPopQ
2021-week_44,AD08FR7NQV,RelayFoods,DE,Qality,UserPopQ
2021-week_44,AD086NF8PM,Search Million Culture,DE,Qality,DNNQ
2021-week_44,AD86688768,MoJoe Brewing Company,DE,Yield,BooksY
2021-week_44,AD0786JP8H,RelayFoods,DE,Qality,UserPopQ
2021-week_44,AD0088VL80,RelayFoods,DE,Qality,DNNQ
2021-week_44,AD009QWH8P,RelayFoods,DE,Qality,DNNQ
2021-week_44,AD08SJ68NG,RelayFoods,DE,Qality,DNNQ
2021-week_44,AD088J7KZT,Search Million Culture,DE,Qality,DNNQ
2021-week_44,AD08FR88KZ,Search Million Culture,DE,Qality,UserPopQ
2021-week_44,AD08SQD8SW,Fry Multimedia,DE,Qality,DNNQ
2021-week_44,AD07DL8GGD,RelayFoods,DE,Qality,DNNQ
2021-week_44,AD0986ZTWM,LocalVox Media,DE,Yield,UserPopY
2021-week_44,AD08OXKI8M,RelayFoods,DE,Qality,DNNQ
2021-week_44,AD08XQML8P,RelayFoods,DE,Qality,DNNQ
2021-week_44,AD099SKJ7F,RelayFoods,DE,Qality,DNNQ
2021-week_44,AD079GQVGP,Search Million Culture,DE,Qality,ManualQ
2021-week_44,AD00OZ68OD,Tab Solutions,DE,Qality,DNNQ
2021-week_44,AD07XMP887,RelayFoods,DE,Qality,DNNQ
2021-week_44,AD07NSHQ78,Search Million Culture,DE,Qality,DNNQ
2021-week_44,AD88808880,LocalVox Media,DE,Yield,BooksY
2021-week_44,AD077XHDRN,Tab Solutions,DE,Qality,UserPopQ
2021-week_44,AD096Y8CVN,MoJoe Brewing Company,DE,Yield,UserPopY
2021-week_44,AD088NWFTR,RelayFoods,DE,Qality,DNNQ
2021-week_44,AD86888878,Search Million Culture,DE,Qality,BooksQ
2021-week_44,AD00GJW8M8,MoJoe Brewing Company,DE,Yield,DNNY
2021-week_44,AD08C8KN8J,Search Million Culture,DE,Qality,DNNQ
2021-week_44,AD00KV8UDM,MoJoe Brewing Company,DE,Yield,UserPopY
2021-week_44,AD07C6ZGJD,RelayFoods,DE,Qality,DNNQ
2021-week_44,AD08LGR798,RelayFoods,DE,Qality,DNNQ
2021-week_44,AD07VN88TP,MoJoe Brewing Company,DE,Yield,DNNY
2021-week_44,AD007XRA9E,Bizanga,DE,Yield,DNNY
2021-week_44,AD000L0RFM,Tab Solutions,DE,Qality,ManualQ
2021-week_44,AD08NPJ887,MoJoe Brewing Company,DE,Yield,DNNY
2021-week_44,AD077YG86W,Search Million Culture,DE,Qality,DNNQ
2021-week_44,AD00AZWMYM,MoJoe Brewing Company,DE,Yield,UserPopY
2021-week_44,AD086898CD,Search Million Culture,DE,Qality,UserPopQ
2021-week_44,AD08CCYRH6,RelayFoods,DE,Qality,DNNQ
2021-week_44,AD07K6TN7L,Search Million Culture,DE,Qality,DNNQ
