region,ad_id,is_success,is_sever
GB,AD0777S8G8,yes,
GB,AD008UE7EW,no,False
GB,AD07F879FJ,yes,
GB,AD07C97NQ9,yes,
GB,AD08CN8G8G,yes,
GB,AD08TVHSQ8,yes,
GB,AD088S8ZDN,yes,
GB,AD00E6OWNX,no,True
GB,AD08PT7P87,yes,
GB,AD08MYYPMO,yes,
GB,AD07PJV8JP,yes,
GB,AD0089E8TA,yes,
GB,AD09DGD868,yes,
GB,AD07MK9C78,yes,
GB,AD088NWW8Z,no,False
GB,AD08PL8MST,no,False
GB,AD09CX9CH9,yes,
GB,AD099DQ8C9,yes,
GB,AD078NTCT8,yes,
GB,AD07JVH8GV,yes,
GB,AD08SD7CFL,yes,
GB,AD088HYGKQ,yes,
GB,AD006XCMIQ,yes,
GB,AD09C7HQKR,yes,
GB,AD00KPSTEH,yes,
GB,AD07L88ZXT,no,True
GB,AD08SWLT88,yes,
GB,AD06ZY78W9,yes,
GB,AD07DLG887,yes,
GB,AD088RR8D8,yes,
GB,AD079KGV8K,yes,
GB,AD08KH86VP,yes,
GB,AD08CJC8YE,yes,
GB,AD098877PZ,no,True
GB,AD08PQ9XJW,yes,
GB,AD00G6UAUN,yes,
GB,AD0888H9SZ,yes,
GB,AD008YQPZN,yes,
GB,AD08FXNTQK,yes,
GB,AD08T9FFPY,yes,
GB,AD087V88FE,yes,
GB,AD07D6N87Z,no,True
GB,AD07MP8LFG,yes,
GB,AD0988N8XQ,yes,
GB,AD07Q6SJ8R,no,False
GB,AD008XLV8S,no,True
GB,AD08V8FCH8,no,True
GB,AD07R8H7QQ,yes,
GB,AD08QJP88K,yes,
GB,AD07FVSLS8,yes,
GB,AD088MMSXF,yes,
GB,AD08GJXCHT,yes,
GB,AD088CKVGW,yes,
GB,AD0988HQGC,yes,
GB,AD07YVXGFL,yes,
GB,AD08NAM08J,yes,
GB,AD088RX9CS,yes,
GB,AD07S67TV7,yes,
GB,AD08X88JHR,no,False
GB,AD088J8DWZ,no,True
GB,AD00SV6KSC,no,True
GB,AD07L9P8WS,yes,
GB,AD07ZX88YS,yes,
GB,AD00C9A6PX,yes,
GB,AD08M7PI8W,no,True
GB,AD07CHRCG6,yes,
GB,AD06ZXYJHS,yes,
GB,AD08MU8J6H,yes,
GB,AD086JJY8X,yes,
GB,AD086U6O0U,yes,
GB,AD008RYNMG,yes,
GB,AD0988SNJ,no,True
GB,AD088YTKC8,yes,
GB,AD07MW6C86,no,False
GB,AD008RPMHE,yes,
GB,AD07M9FLZ8,no,True
GB,AD08MTEY8R,yes,
GB,AD008LNLPQ,yes,
GB,AD08MXSRS,yes,
GB,AD08RJKSVR,yes,
GB,AD08EMXPLK,yes,
GB,AD08KA7XPF,yes,
GB,AD098C6SNV,yes,
GB,AD08R68RXX,no,False
GB,AD08JWN98C,yes,
GB,AD0878CTMG,yes,
GB,AD07WN8C7X,yes,
GB,AD008660YM,yes,
GB,AD077PD8W8,yes,
GB,AD077WD8H8,yes,
GB,AD09FXPL8H,no,True
GB,AD088VM8MC,yes,
GB,AD07V8RZT7,yes,
GB,AD07JPQYP8,yes,
GB,AD079Z8V8J,yes,
GB,AD07NGVTY8,no,True
GB,AD07XL96GT,yes,
GB,AD08988KSJ,yes,
GB,AD0778RLVN,no,False
GB,AD07STZQRL,yes,
GB,AD06XRKKVW,yes,
GB,AD09867FM,yes,
GB,AD07QSSPN8,yes,
GB,AD08CYT8SD,no,False
GB,AD098FX6SG,yes,
GB,AD098WCK6L,yes,
GB,AD07YGZQ8H,yes,
GB,AD09H8FMPM,yes,
GB,AD000C78Y8,yes,
GB,AD078QXTQD,yes,
GB,AD07F78TZD,yes,
GB,AD07XDF8Z7,yes,
GB,AD0888D8JY,yes,
GB,AD0889N8VS,yes,
GB,AD07NMC8QG,yes,
GB,AD0088T06M,yes,
GB,AD07DQ8KW8,yes,
GB,AD0088AK8C,yes,
GB,AD078J98M7,yes,
GB,AD078XRN86,yes,
GB,AD00XUJOJM,yes,
GB,AD08PS886Q,no,False
GB,AD07HGRTL8,yes,
GB,AD06XC6CTT,no,True
GB,AD096Z7S88,yes,
GB,AD088NV7X9,no,True
GB,AD08LTD789,yes,
GB,AD07YQQJCP,yes,
GB,AD00S8YKW6,yes,
GB,AD0788XG88,yes,
GB,AD07ZQH8VS,yes,
GB,AD08FQMZD6,yes,
GB,AD0888PGTP,yes,
GB,AD08868WPW,yes,
GB,AD08KQHC8Q,yes,
GB,AD008FNDMT,yes,
GB,AD00MH8QM8,yes,
GB,AD0888XZ88,yes,
GB,AD08G9C8TH,yes,
GB,AD08W88HQY,yes,
GB,AD077MKXJV,yes,
GB,AD00JJM08K,yes,
GB,AD0088GCCQ,yes,
GB,AD0978S88S,yes,
GB,AD07S8FCMR,yes,
GB,AD07ZHYFTN,yes,
GB,AD08NAPRUK,yes,
GB,AD008XCDU8,yes,
GB,AD08XVVPXX,no,False
GB,AD07G9R88Y,no,True
GB,AD00C8K8CQ,yes,
GB,AD07HS7F8L,yes,
GB,AD07YFZ8W9,yes,
GB,AD07MDNV8N,yes,
GB,AD08FDNZWC,yes,
GB,AD08DZU8DV,no,True
GB,AD078QX8C,yes,
GB,AD07WHJ9R6,yes,
GB,AD00VPXHMG,no,True
GB,AD08CCM8Q8,yes,
GB,AD07GXNFLC,yes,
GB,AD07WWD8RL,yes,
GB,AD08VD8FS8,yes,
GB,AD08C7GV8D,no,True
GB,AD08LKMMFX,yes,
GB,AD07PSKJRT,yes,
GB,AD077Z88K,yes,
GB,AD07FFJQ89,no,True
GB,AD008NMP6I,yes,
GB,AD098YLLWX,no,False
GB,AD08M0PEFE,no,True
GB,AD0888FSVK,yes,
GB,AD08N6MFCD,yes,
GB,AD088TM7WG,yes,
GB,AD078P8FMF,no,False
GB,AD078GTQ78,yes,
GB,AD08MY88NL,no,True
GB,AD088R88VT,yes,
GB,AD87868987,yes,
GB,AD07HDJVG,yes,
GB,AD08N0YT9F,yes,
GB,AD008PLCDP,yes,
GB,AD07JJF8Q8,yes,
GB,AD07Z87F88,yes,
GB,AD08FJ8KRG,yes,
GB,AD08N86XNT,yes,
GB,AD08LW88ON,yes,
GB,AD078QL8SD,yes,
GB,AD0988WJM8,yes,
GB,AD07878HNG,yes,
GB,AD07SW8J88,yes,
GB,AD08M68888,yes,
GB,AD0888TD8N,yes,
GB,AD07GLJ8N8,yes,
GB,AD07ZX89KC,yes,
GB,AD088Z887D,yes,
GB,AD07KWWZ8L,yes,
GB,AD08GCP6L8,yes,
GB,AD0007SXH6,yes,
GB,AD08CZV8K8,yes,
GB,AD07L6P9QV,no,False
GB,AD089P8DDM,yes,
GB,AD07NXTGT8,yes,
GB,AD079ZS6LF,yes,
GB,AD07Q66PX,yes,
GB,AD008SHLP8,yes,
GB,AD08NJC88R,yes,
GB,AD00MOPOSP,yes,
GB,AD08P8Z6Z8,yes,
GB,AD008KQJS8,yes,
GB,AD098JDDZL,no,False
GB,AD08WHRTHY,yes,
GB,AD07CTT8VL,yes,
GB,AD07ZN8Q9J,yes,
GB,AD086Y88XQ,yes,
GB,AD008VA868,no,False
GB,AD077868Y8,yes,
GB,AD0067RJ8,no,True
GB,AD00DSOR8F,no,True
GB,AD097FY9HQ,yes,
GB,AD08GGNI8T,no,True
GB,AD08TTNFQK,yes,
GB,AD08TMC8HH,yes,
GB,AD008RYQKO,yes,
GB,AD0996YLQQ,yes,
GB,AD00MWTLOY,yes,
GB,AD00CHJ8KO,yes,
GB,AD07WCV6N8,yes,
GB,AD079D8JPW,yes,
GB,AD07CT8P88,yes,
GB,AD07MNZ8ZD,no,True
GB,AD00N7OZXX,yes,
GB,AD000ONNOC,yes,
GB,AD086MON8O,yes,
GB,AD008HU0T0,no,True
GB,AD00U8ZQ8Y,yes,
GB,AD08CVVSX8,yes,
GB,AD0888DCG,yes,
GB,AD0988X8NH,yes,
GB,AD07SWMW8S,yes,
GB,AD08G9L878,yes,
GB,AD008888XF,yes,
GB,AD08AURZQ0,yes,
GB,AD078JV89R,yes,
GB,AD07PRZYJH,yes,
GB,AD078XH89V,yes,
GB,AD07PY78ST,yes,
GB,AD00UR0V8H,yes,
GB,AD0768WWWW,yes,
GB,AD006Z8OCU,yes,
GB,AD07W6QC8Q,yes,
GB,AD07G9G6WR,yes,
GB,AD08PNMF86,no,True
GB,AD099NPC8K,yes,
