region,ad_id,is_success,is_sever
IN,AD08DG88P8,yes,
IN,AD08WYDPSP,no,True
IN,AD09N8FP8M,no,True
IN,AD0968DJCF,yes,
IN,AD07NS8PVY,no,True
IN,AD07MGDFT9,no,True
IN,AD08M6YEQ8,yes,
IN,AD088R8KHR,yes,
IN,AD088YK9QM,yes,
IN,AD08EXCFIT,yes,
IN,AD00QUSXQG,no,True
IN,AD08KXPSVF,yes,
IN,AD088D6N8X,yes,
IN,AD08J6MWXM,no,False
IN,AD078P986R,yes,
IN,AD088W88N8,yes,
IN,AD07G98H6P,no,True
IN,AD086688KJ,yes,
IN,AD07YGNH68,yes,
IN,AD08D6G6LM,yes,
IN,AD097RDVDL,yes,
IN,AD08VAZHCS,yes,
IN,AD089MTJVL,yes,
IN,AD07FCJWVC,yes,
IN,AD09CNQM9C,yes,
IN,AD08YRVPJY,yes,
IN,AD088MS988,no,True
IN,AD08I8HPQG,yes,
IN,AD00T7G870,no,True
IN,AD07X678VS,yes,
IN,AD09NLSV8C,yes,
IN,AD08L8DV7X,yes,
IN,AD07PK8NPD,yes,
IN,AD09HKTCX8,yes,
IN,AD09M8PFZQ,yes,
IN,AD09PJ79QK,yes,
IN,AD089DS88S,yes,
IN,AD08K8CMF8,yes,
IN,AD08R9VRN8,no,True
IN,AD098V8NT7,yes,
IN,AD08DMDWP8,no,False
IN,AD006LXAYU,no,False
IN,AD08868VD8,yes,
IN,AD09CTZ8Z7,no,False
IN,AD09MY8NSD,yes,
IN,AD098SWYF6,yes,
IN,AD09NRT86F,yes,
IN,AD00DRE8HG,no,True
IN,AD07R7RG8L,no,True
IN,AD098C8VDJ,no,True
IN,AD07L8XL8R,yes,
IN,AD09P8XCKR,yes,
IN,AD07TKY98S,no,False
IN,AD006G88P6,yes,
IN,AD08TSSCZR,no,True
IN,AD08KSTLLZ,yes,
IN,AD07XMGGG8,no,False
IN,AD08FYLLLP,yes,
IN,AD07RJLQL,yes,
IN,AD09Q89688,yes,
IN,AD08R6QR86,yes,
IN,AD08987DL,no,True
IN,AD0868RXG6,yes,
IN,AD07NRT86X,yes,
IN,AD08W8M7GW,yes,
IN,AD09F6KMX6,yes,
IN,AD099SF8X8,no,False
IN,AD08HWP98T,yes,
IN,AD07VNSP88,no,False
IN,AD09JGL8CN,yes,
IN,AD08LT9MPP,no,True
IN,AD086N68W8,yes,
IN,AD08P8GSGM,yes,
IN,AD08ZYDFZQ,no,True
IN,AD07WL8T78,yes,
IN,AD08JQM886,yes,
IN,AD078ZGWR8,yes,
IN,AD099RZ778,no,True
IN,AD09LHXTXM,no,True
IN,AD0886HRTJ,no,True
IN,AD07CYYNNN,no,False
IN,AD07NY8Z89,yes,
IN,AD09CTYGJS,yes,
IN,AD08R8HXNH,no,False
IN,AD06ZZJ7NV,no,True
IN,AD087788D8,yes,
IN,AD08MVRZ8Q,no,False
IN,AD09H7MT88,no,True
IN,AD07GXHC69,yes,
IN,AD06Y8XF8P,yes,
IN,AD078CWTPG,no,True
IN,AD07SL88CK,yes,
IN,AD08VRQNRV,yes,
IN,AD096KS8Z8,yes,
IN,AD09KVXZY,yes,
IN,AD09788QGR,yes,
IN,AD089888Y8,yes,
IN,AD08XMND8Q,yes,
IN,AD08W8PR8D,yes,
IN,AD0888PN8L,yes,
IN,AD000GG8S8,yes,
IN,AD08WWG668,yes,
IN,AD09H8M8WR,no,False
IN,AD098XRRZ6,no,True
IN,AD09PHTNYJ,no,True
IN,AD07SW8L8M,yes,
IN,AD076CMR8L,yes,
IN,AD09Q88F68,no,False
IN,AD09HSM8NK,no,True
IN,AD07DJGZZH,no,True
IN,AD08R8Z7CX,yes,
IN,AD09KRLS8L,no,False
IN,AD07SKJ9F8,yes,
IN,AD09LVWF87,yes,
IN,AD08WPVN98,yes,
IN,AD08JYN8XC,yes,
IN,AD0998HHCP,no,True
IN,AD00IP6C8L,yes,
IN,AD09MM88TY,yes,
IN,AD086ML0PA,yes,
IN,AD076CJQPX,yes,
IN,AD09M88Y8N,yes,
IN,AD00MFPCY8,yes,
IN,AD08SQGLT8,yes,
IN,AD00FC76TM,yes,
IN,AD098H9DWL,no,True
IN,AD006QH9O8,no,False
IN,AD09MKMSQ9,no,False
IN,AD098GGT8L,yes,
IN,AD07NZX688,yes,
IN,AD089NW898,yes,
IN,AD07VN8C88,yes,
IN,AD07DL7YMN,yes,
IN,AD07XWJ9L8,no,False
IN,AD07RQ8R68,yes,
IN,AD0868NLM8,yes,
IN,AD098DPFRZ,yes,
IN,AD07CJTTW7,yes,
IN,AD07S9KZG8,yes,
IN,AD098R8CJD,yes,
IN,AD06XPJL8F,yes,
IN,AD09GS878Z,yes,
IN,AD07JQN7QG,yes,
IN,AD088GQD89,no,True
IN,AD078K8TC8,yes,
IN,AD07XWH7TX,yes,
IN,AD08XMR88R,yes,
IN,AD098DPL8Z,yes,
IN,AD07T8J9DJ,yes,
IN,AD07H9SV68,yes,
IN,AD088GZ8MW,no,False
IN,AD08686KI,yes,
IN,AD097R8CN8,no,True
IN,AD00G6MU8E,yes,
IN,AD09CTZ8WF,yes,
IN,AD08HKMJ8T,yes,
IN,AD08N8U68E,yes,
IN,AD07YJVKSZ,yes,
IN,AD07DGX9RQ,yes,
IN,AD00ENZT8M,yes,
IN,AD00NIWHQV,yes,
IN,AD0986HX9R,yes,
IN,AD07P8GDXN,yes,
IN,AD078T8FNG,no,False
IN,AD08RJNPNK,yes,
IN,AD088DT9XK,yes,
IN,AD07X6MKT8,yes,
IN,AD09HC68NL,no,True
IN,AD098MR8QM,yes,
IN,AD08HGEVFU,no,True
IN,AD088QKZYY,no,True
IN,AD088TVYT8,yes,
IN,AD08XFCV8,yes,
IN,AD088GTXS9,no,True
IN,AD07M78KMG,yes,
IN,AD09J8F6P8,no,True
IN,AD089MT88Q,yes,
IN,AD078JDX67,yes,
IN,AD096HM9KF,no,True
IN,AD08Q8FNYL,no,True
IN,AD098XFRGQ,yes,
IN,AD08TT8FJR,no,True
IN,AD07HR986T,yes,
IN,AD08M0GN08,yes,
IN,AD088QJ88Q,yes,
IN,AD08L9RRNY,yes,
IN,AD07MJ8YSK,yes,
IN,AD07J9MNNN,yes,
IN,AD078RGFFV,yes,
IN,AD08T8Z8X8,no,True
IN,AD08VWK798,yes,
IN,AD09GPW867,yes,
IN,AD08HHLSQ7,no,True
IN,AD08CE7D8Y,yes,
IN,AD0886VY87,yes,
IN,AD0788XWTM,yes,
IN,AD09678J8Y,no,True
IN,AD08G6MJQQ,yes,
IN,AD07SL8SNF,no,True
IN,AD09J8CXMD,yes,
IN,AD09FJWKF8,yes,
IN,AD08RCQRZ8,yes,
IN,AD07S6P88C,yes,
IN,AD08L88YPG,yes,
IN,AD098NFJXX,yes,
IN,AD07SMR9P8,yes,
IN,AD089DF8DX,yes,
IN,AD0888CGQ8,yes,
IN,AD098PYTSV,yes,
IN,AD00F8XC8P,yes,
IN,AD07Z6WPNW,yes,
IN,AD07WMS7TW,yes,
IN,AD006NVDWG,yes,
IN,AD08C8H8T8,yes,
IN,AD006LXDYR,yes,
IN,AD07YL8JGW,yes,
IN,AD08HGRGTQ,yes,
IN,AD09PRDHRK,yes,
IN,AD07P988F8,yes,
IN,AD0788KS8S,yes,
IN,AD07MDGZJQ,yes,
IN,AD08FN98V8,yes,
IN,AD09CDW7T8,yes,
IN,AD06Y8YQCC,yes,
IN,AD088ZG9P8,yes,
IN,AD089YQSQ8,yes,
IN,AD098F8RMY,yes,
IN,AD09PHT7SK,no,True
IN,AD08PVYDSX,no,True
IN,AD07FMVJ6P,yes,
IN,AD08SMJ8Y8,no,True
IN,AD09N8QC9Z,yes,
IN,AD07DP8Z8C,no,False
IN,AD00LHULLK,yes,
IN,AD0888YC78,no,True
IN,AD09889NR8,no,True
IN,AD07PFFMP9,yes,
IN,AD07KMD8NJ,yes,
IN,AD07M8JC8D,yes,
IN,AD086978F8,yes,
IN,AD098SZQ8D,no,True
IN,AD08C8RJXJ,yes,
IN,AD097YL8C8,yes,
IN,AD07WFPLDS,yes,
IN,AD0868LLRV,no,True
IN,AD07DNP8S6,yes,
IN,AD096QHNSF,yes,
IN,AD088KXH8F,yes,
IN,AD88879888,yes,
IN,AD07PQ88DC,yes,
IN,AD098G8FLL,no,False
IN,AD07QPG8QH,no,True
IN,AD09NVZH98,yes,
IN,AD09MKPTK8,no,False
IN,AD098S89LM,no,False
IN,AD0998LLTN,no,True
IN,AD08DRKZDH,yes,
IN,AD07S9GSXV,no,False
IN,AD09MKMT68,no,False
IN,AD08PCCCQQ,yes,
IN,AD098HF8T8,yes,
IN,AD00YMJ0OI,no,True
IN,AD08M7YY98,yes,
IN,AD0889RGGX,no,True
IN,AD0798C99M,yes,
IN,AD08VDLQHK,yes,
IN,AD07H9T88W,yes,
IN,AD07SKKT8N,yes,
IN,AD06Y8797J,yes,
IN,AD089JDM8N,yes,
IN,AD08L8DMMS,yes,
IN,AD098N88J9,yes,
IN,AD089FY86X,yes,
IN,AD08MPXRR8,yes,
IN,AD08988RR8,yes,
IN,AD08RW9X8J,no,False
IN,AD078WPJ66,yes,
IN,AD09PNQ8QW,yes,
IN,AD08P9FPSC,no,True
IN,AD08H68G96,yes,
IN,AD08ISUL8P,no,True
IN,AD0888VNS8,yes,
IN,AD09FGX9L9,yes,
IN,AD078NQL88,yes,
IN,AD09MCS8XN,yes,
IN,AD08PSWRZ9,yes,
IN,AD098PJMN8,yes,
IN,AD098C8FWG,yes,
IN,AD080DT89A,yes,
IN,AD08C8YLT8,yes,
IN,AD08TF88V8,yes,
IN,AD07CHC8R8,yes,
IN,AD009LJ8XA,yes,
IN,AD078M9WHY,yes,
IN,AD08688V88,yes,
IN,AD088WNRRL,no,True
IN,AD08898JQ9,yes,
IN,AD08P8MN87,no,True
IN,AD08HHLJ8F,no,True
IN,AD07WDKLZP,yes,
IN,AD078PTJ7R,yes,
IN,AD08XXQPVQ,yes,
IN,AD07ZP76QV,yes,
IN,AD097GMST8,no,True
IN,AD089T7TW8,yes,
IN,AD078J8YJ7,yes,
IN,AD08K688Y8,no,False
IN,AD0988D86X,no,True
IN,AD00CGVF7Q,yes,
IN,AD0888L9N,no,False
IN,AD07P87P8M,yes,
IN,AD078Q8KZD,yes,
IN,AD08L88F8P,yes,
IN,AD08CYMP68,yes,
IN,AD0888D86C,no,False
IN,AD008KH68R,yes,
IN,AD08E9ZM86,yes,
IN,AD07W6QKHX,yes,
IN,AD07Q8X8LR,no,True
IN,AD07ZRXF7M,yes,
IN,AD08CHH9YD,yes,
IN,AD09NNZFYL,no,True
IN,AD88789988,yes,
IN,AD0888FGQX,yes,
IN,AD07STJTVJ,yes,
IN,AD08N88TY6,yes,
IN,AD078HRR8X,yes,
IN,AD07W88M8M,yes,
IN,AD0788Y8CL,yes,
IN,AD08TRHF78,yes,
IN,AD0788MLS7,no,False
IN,AD088TDNX7,yes,
IN,AD08HLTF88,yes,
IN,AD07NGP887,yes,
IN,AD08SCF88W,no,True
IN,AD09JG8P88,no,True
IN,AD08878K8H,yes,
IN,AD00P98X6E,yes,
IN,AD098V8K8X,yes,
IN,AD08D8J8VR,yes,
IN,AD07X96HFP,yes,
IN,AD08GSN8TT,yes,
IN,AD08N6WNQG,yes,
IN,AD08M9PY7C,no,True
IN,AD07H8ZNFQ,yes,
IN,AD07XXZW87,yes,
IN,AD08DVFZTT,yes,
IN,AD08L8Q67O,no,True
IN,AD00NYZTUV,no,True
IN,AD00IF8W8D,yes,
IN,AD0009PCPP,yes,
IN,AD07PY8ZQ8,no,True
IN,AD088WN87X,yes,
IN,AD07S8QXDT,yes,
IN,AD08JZ7HSN,no,False
IN,AD08SJ8VCM,yes,
IN,AD07J87J78,yes,
IN,AD07PHW88C,yes,
IN,AD07S8NW7Y,yes,
IN,AD09PVLLDW,yes,
IN,AD07R8998L,yes,
IN,AD07MZ8CVW,yes,
IN,AD09JMZSH8,yes,
IN,AD08YJ6S88,no,True
IN,AD0888TKSC,yes,
IN,AD08PF8HGM,yes,
IN,AD08F68KFJ,yes,
IN,AD09CZ7FD8,no,True
IN,AD09NRNQTH,no,False
IN,AD07MK8J8D,yes,
IN,AD08VNK8CJ,yes,
IN,AD00SFI7SR,yes,
IN,AD07CHVGLW,no,False
IN,AD09DSNM8R,yes,
IN,AD097THFXQ,yes,
