week_id,ad_id,requester,region,recommendation_type,rec_provider
2022-week_05,AD09MF9GJW,Search Million Culture,GB,Qality,UserPopQ
2022-week_05,AD08TH8P79,Fancy,GB,Qality,XGBQ
2022-week_05,AD00UXLT6R,MoJoe Brewing Company,GB,Yield,DNNY
2022-week_05,AD088CRLR9,Fancy,GB,Qality,DNNQ
2022-week_05,AD09F78LX7,MoJoe Brewing Company,GB,Yield,DNNY
2022-week_05,AD00TZT6GQ,Fancy,GB,Qality,DNNQ
2022-week_05,AD088DWCZX,Search Million Culture,GB,Qality,ManualY
2022-week_05,AD0999QM88,Search Million Culture,GB,Qality,RNNQ
2022-week_05,AD07F866KL,Search Million Culture,GB,Qality,DNNQ
2022-week_05,AD00GF098U,Fancy,GB,Qality,DNNQ
2022-week_05,AD0099HD8Y,Fancy,GB,Qality,DNNQ
2022-week_05,AD077H9DR8,Fancy,GB,Qality,DNNQ
2022-week_05,AD077H9DR8,Fancy,GB,Qality,DNNQ
2022-week_05,AD09JQQDLX,Search Million Culture,GB,Qality,DNNQ
2022-week_05,AD07CKPXF8,RelayFoods,GB,Qality,DNNQ
2022-week_05,AD079MCMMW,MoJoe Brewing Company,GB,Yield,DNNY
2022-week_05,AD009LGTA0,RelayFoods,GB,Qality,RNNQ
2022-week_05,AD088888F8,Fancy,GB,Qality,RNNQ
2022-week_05,AD09L8ZJTJ,Search Million Culture,GB,Qality,DNNQ
2022-week_05,AD08GY8VLD,Search Million Culture,GB,Qality,XGBQ
2022-week_05,AD00E8CM88,Fancy,GB,Qality,RNNQ
2022-week_05,AD07P78PC8,RelayFoods,GB,Qality,XGBQ
2022-week_05,AD097KXF8J,Search Million Culture,GB,Qality,RNNQ
2022-week_05,AD08AI8LNM,Fancy,GB,Qality,DNNQ
2022-week_05,AD078RRN8V,Search Million Culture,GB,Qality,DNNQ
2022-week_05,AD088CCVMS,MoJoe Brewing Company,GB,Yield,DNNY
2022-week_05,AD00EJDG7X,MoJoe Brewing Company,GB,Yield,DNNY
2022-week_05,AD0888MY8G,iDreamsky Technology,GB,Qality,DNNQ
2022-week_05,AD08FV89Z9,MoJoe Brewing Company,GB,Yield,UserPopY
2022-week_05,AD07WVNW78,Search Million Culture,GB,Qality,DNNQ
2022-week_05,AD07H8PJH8,RelayFoods,GB,Qality,DNNQ
2022-week_05,AD07HVF8LY,Fancy,GB,Qality,ManualQ
2022-week_05,AD07HVF8LY,Fancy,GB,Qality,ManualQ
2022-week_05,AD07HVF8LY,Fancy,GB,Qality,ManualQ
2022-week_05,AD088MDHZZ,RelayFoods,GB,Qality,RNNQ
2022-week_05,AD09V9P788,Search Million Culture,GB,Qality,DNNQ
2022-week_05,AD09V9P788,Search Million Culture,GB,Qality,DNNQ
2022-week_05,AD008LXHQI,Fancy,GB,Qality,RNNQ
2022-week_05,AD008LXHQI,Fancy,GB,Qality,RNNQ
2022-week_05,AD07Z88CDZ,Search Million Culture,GB,Qality,DNNQ
2022-week_05,AD09CMJ8J8,MoJoe Brewing Company,GB,Yield,UserPopY
2022-week_05,AD00D8DK8O,Search Million Culture,GB,Qality,DNNQ
2022-week_05,AD006V8O68,Fancy,GB,Qality,DNNQ
2022-week_05,AD006V8O68,Fancy,GB,Qality,DNNQ
2022-week_05,AD006V8O68,Fancy,GB,Qality,DNNQ
2022-week_05,AD07FT8N88,MoJoe Brewing Company,GB,Yield,RNNY
2022-week_05,AD08PPVYXZ,Search Million Culture,GB,Qality,UserPopQ
2022-week_05,AD08F8L8DL,RelayFoods,GB,Qality,XGBQ
2022-week_05,AD0788JFY9,Fancy,GB,Qality,DNNQ
2022-week_05,AD07WFPQM8,RelayFoods,GB,Qality,RNNQ
2022-week_05,AD07HLR7PP,Fancy,GB,Qality,XGBQ
2022-week_05,AD07HLR7PP,Fancy,GB,Qality,XGBQ
