region,ad_id,is_success,is_sever
US,AD00QKXHR8,yes,
US,AD07G88Q8K,yes,
US,AD08WZ8LTK,yes,
US,AD097DRVJJ,yes,
US,AD00AO7Z6M,yes,
US,AD08M6VFKE,yes,
US,AD07QTPJ8G,yes,
US,AD08LWMTZ7,yes,
US,AD07DZC9L,yes,
US,AD098QPTNT,no,False
US,AD08FDWR8J,yes,
US,AD088HGRLH,no,True
US,AD07RT8DZ8,yes,
US,AD087JA9QT,yes,
US,AD008QGZ8F,yes,
US,AD078X8789,yes,
US,AD008GLXRC,yes,
US,AD08DJ8RQZ,yes,
US,AD098RY7Y8,no,True
US,AD088JRCDN,yes,
US,AD88868890,yes,
US,AD00SJCDTM,yes,
US,AD078LV766,yes,
US,AD0767WQV8,no,True
US,AD06XQ8GMK,no,True
US,AD07TF7CH7,yes,
US,AD088JSH7Q,yes,
US,AD08T8SMYX,yes,
US,AD08Q88VJQ,yes,
US,AD08888YN9,no,True
US,AD07MMTDFS,yes,
US,AD000FSQN8,no,True
US,AD00TEPNIU,yes,
US,AD09MLNPXP,yes,
US,AD08867WS8,yes,
US,AD007N6FKE,yes,
US,AD07XFP8V8,yes,
US,AD08MZCZCF,yes,
US,AD07PZ98KJ,no,True
US,AD07F8GW8H,yes,
US,AD088VY8VX,yes,
US,AD0008IWC8,yes,
US,AD078V8T8Y,yes,
US,AD0788DXDX,yes,
US,AD0988S8HP,yes,
US,AD08PCZX8V,no,True
US,AD098ZMLMT,yes,
US,AD07Q898XS,no,False
US,AD07JXT88X,yes,
US,AD09CTSFMS,yes,
US,AD07S88FJ8,yes,
US,AD07TZG9VP,yes,
US,AD0788T8W8,yes,
US,AD098DKK8M,yes,
US,AD07GDH8XK,yes,
US,AD09JT8ZT8,no,True
US,AD088WRQ8L,yes,
US,AD08888YFM,yes,
US,AD09DD88F8,yes,
US,AD098XL7RH,yes,
US,AD07MK8NSY,no,True
US,AD0888KYNY,yes,
US,AD00KQ0XVR,yes,
US,AD099XC8GP,yes,
US,AD08T7PRJR,no,True
US,AD097NL888,yes,
US,AD07P8PMPJ,yes,
US,AD098J8D88,yes,
US,AD008NON8S,no,True
US,AD07L88NVQ,yes,
US,AD06XR888C,no,True
US,AD09QS68GQ,no,False
US,AD08HZ9HC7,yes,
US,AD07PXTTM9,yes,
US,AD000F8CDP,yes,
US,AD00JKU8RS,yes,
US,AD08LPZNWG,yes,
US,AD09KZ88G8,yes,
US,AD09L8FLCT,yes,
US,AD08LWPC8J,yes,
US,AD07XQKNRM,yes,
US,AD09GK8TJ8,no,True
US,AD08GHKK88,yes,
US,AD00H86KCU,yes,
US,AD08FXYQJR,no,False
US,AD07XCNVR8,yes,
US,AD098NLYCC,yes,
US,AD00N8L0RV,yes,
US,AD078C6FH8,yes,
US,AD089R8THF,yes,
US,AD08ZC7F88,yes,
US,AD0969YK79,yes,
US,AD000E8FXQ,no,True
US,AD07FRTVPV,yes,
US,AD08P8WD8C,no,False
US,AD09GXD88M,yes,
US,AD008KNR8Y,yes,
US,AD008ZCXXM,yes,
US,AD08GXXZL7,yes,
US,AD08F8YCNM,yes,
US,AD088DNTPK,yes,
US,AD09VHH8F6,yes,
US,AD06Y86NDF,yes,
US,AD07W78NKT,yes,
US,AD08WPGQLW,yes,
US,AD06VWD8PN,no,False
US,AD09C8C8LN,yes,
US,AD088JYH88,yes,
US,AD08N88H8J,yes,
US,AD078TJ9W6,yes,
US,AD098NM8ZT,yes,
US,AD08FDVJM,no,True
US,AD09DY88ZX,yes,
US,AD08878888,yes,
US,AD08M88AY8,yes,
US,AD079ZNRZJ,yes,
US,AD09NK7XR8,no,False
US,AD08XW66MR,yes,
US,AD07VHKD8Z,yes,
US,AD078LQGD8,yes,
US,AD096MFNP6,yes,
US,AD08LWS09R,yes,
US,AD07KYSQJP,no,True
US,AD0888Z8RQ,no,False
US,AD077N6NNG,yes,
US,AD08ZCS8R8,yes,
US,AD09JZC88F,no,False
US,AD08W8DDPT,yes,
US,AD097ZMY88,yes,
US,AD08ZMZTLQ,yes,
US,AD096Z88WV,yes,
US,AD08K88SQC,no,True
US,AD07Z79RQH,yes,
US,AD08ST88H9,yes,
US,AD08L88LTV,no,True
US,AD098WNGKK,no,False
US,AD078QMN78,yes,
US,AD086MLWGZ,yes,
US,AD0988DV8T,yes,
US,AD07DW8XF8,no,False
US,AD077T6M6Z,no,True
US,AD07QL8K9D,yes,
US,AD07VMGW86,yes,
US,AD0000VLU8,yes,
US,AD078PV6XQ,yes,
US,AD08C7D88J,yes,
US,AD076Z88XH,no,True
US,AD08F9CKQM,yes,
US,AD08LXCKP8,yes,
US,AD08NDCTSG,no,False
US,AD09LXGH88,yes,
US,AD08T9888N,yes,
US,AD007Q6YOJ,no,False
US,AD088WLXF8,yes,
US,AD098VKFC9,yes,
US,AD07PK8YC,yes,
US,AD00VY9NHN,yes,
US,AD08L7YRPG,yes,
US,AD00TSSVPO,yes,
US,AD008GTFZJ,yes,
US,AD07ZKFYMW,yes,
US,AD088VMT9L,yes,
US,AD00GI98G6,yes,
US,AD08ZCZMKW,yes,
US,AD088PC888,yes,
US,AD07PPP7SN,no,True
US,AD088S66ZZ,yes,
US,AD08QRJZQN,no,True
US,AD07R8XJNT,yes,
US,AD088TNHF8,no,False
US,AD07D8CR78,yes,
US,AD87888870,yes,
US,AD078HWLFM,no,False
US,AD087YLTR8,yes,
US,AD07CV88SK,no,True
US,AD098DFRP8,yes,
US,AD06XTWZ88,yes,
US,AD008GO6AM,yes,
US,AD079DNGQN,yes,
US,AD09J78SPN,yes,
US,AD08LNVYYX,no,False
US,AD08R7F6W6,no,True
US,AD08D88W86,yes,
US,AD087P6HJG,yes,
US,AD08LVVN9V,yes,
US,AD0869D68H,yes,
US,AD00LWLTXV,yes,
US,AD098HXGCL,yes,
US,AD07SRD8NT,yes,
US,AD07NXV8X8,yes,
US,AD07PMSRJX,no,True
US,AD098RTT88,yes,
US,AD08PD87TL,no,True
US,AD07RK8GCM,yes,
US,AD08X8SWY9,yes,
US,AD078HSV88,no,True
US,AD08IG8X9E,yes,
US,AD0086HF8G,yes,
US,AD098FCQ6Y,yes,
US,AD0988MFSV,yes,
US,AD078CJH8N,no,False
US,AD08N8NGHS,yes,
US,AD098FG8W9,yes,
US,AD08CVV8Z8,no,True
US,AD079K8S98,yes,
US,AD07DW8L6F,yes,
US,AD87780898,yes,
US,AD098X8DWS,yes,
US,AD07P8H8VH,yes,
US,AD087CW88F,yes,
US,AD09MWHTRK,yes,
US,AD00R8OALE,no,True
US,AD06Y8J8V8,yes,
US,AD07KKDKG8,yes,
US,AD07PP88R6,yes,
US,AD00WLQDER,no,False
US,AD08MMYJ8N,yes,
US,AD08JAY0DN,no,True
US,AD07WD8MK8,yes,
US,AD07DJZ888,no,False
US,AD08CCG6WF,yes,
US,AD07VX6GH8,no,False
US,AD86099688,yes,
US,AD07FTKGZ8,yes,
US,AD00DKXXM8,yes,
US,AD0989TYC8,yes,
US,AD07GX8VWR,yes,
US,AD09FZV8FS,no,True
US,AD08N7AIRY,yes,
US,AD09MF88TM,yes,
US,AD08CD89RC,yes,
US,AD09M8JXKK,no,False
US,AD0888VJSJ,yes,
US,AD08PPL8TJ,yes,
US,AD08QWT8RV,yes,
US,AD07Z8V8VV,no,True
US,AD00L6KJAI,no,True
US,AD098LRC88,yes,
US,AD0986QFTW,yes,
US,AD08NWTX8V,yes,
US,AD08ZYWRNW,yes,
US,AD07GL88N8,yes,
US,AD00RZCZ87,yes,
US,AD08YX688K,yes,
US,AD07L9NYZK,yes,
US,AD098VC88C,yes,
US,AD07R88PJ8,yes,
US,AD07DMW7W8,yes,
US,AD07FCMPDX,yes,
US,AD08KSV8KM,yes,
US,AD09JHL878,no,False
US,AD098SG989,yes,
US,AD08FWRHWK,yes,
US,AD08FWPY76,yes,
US,AD08KZRTKL,yes,
US,AD07Q9M7FH,yes,
US,AD00HURYKR,no,False
US,AD07K8RZWM,yes,
US,AD08KZQN8C,no,True
US,AD000RUP8H,yes,
US,AD08N88F8C,no,False
US,AD098RN7VY,yes,
US,AD088H8QNT,yes,
US,AD079PP9RY,yes,
US,AD07QCW8MZ,yes,
US,AD08VGR8VG,yes,
US,AD09N8K8RX,yes,
US,AD09HWYCXQ,yes,
US,AD0888QC69,yes,
US,AD09C8VRQN,no,False
US,AD09NS8W8P,yes,
US,AD008A8JO8,yes,
US,AD07FQRXG8,yes,
US,AD09DLXSWG,yes,
US,AD08JQL8W8,no,False
US,AD099DRFVQ,yes,
US,AD079MHLPQ,no,True
US,AD078Y8888,yes,
US,AD08C8TWXZ,yes,
US,AD08XDTL8,yes,
US,AD07PHVJQD,yes,
US,AD078GWMKM,no,True
US,AD00H89FD8,yes,
US,AD097LL9MW,yes,
US,AD0886H88R,no,True
US,AD07DCLWMR,yes,
US,AD08NPWSLY,no,True
US,AD000VL8HI,yes,
US,AD07K8KRK6,yes,
US,AD097MCM78,yes,
US,AD0089LF8Y,yes,
US,AD08DHL86D,yes,
US,AD09DWDPVH,yes,
US,AD089QO8ZP,yes,
US,AD000FKT6U,yes,
US,AD088RL6D7,no,True
US,AD0978QQ88,yes,
US,AD0778VZ7F,yes,
US,AD07SJKCN6,yes,
US,AD088GFMX7,yes,
US,AD08F8YNTQ,yes,
US,AD000UVWGG,yes,
US,AD0878VYF8,yes,
US,AD09GS87MW,yes,
US,AD07RGP9GP,yes,
US,AD088QVXKK,yes,
US,AD00U8TG89,yes,
US,AD08T886RN,yes,
US,AD07Y8FYYW,yes,
US,AD07NYXPL8,yes,
US,AD08HFCX86,yes,
US,AD086VWN8L,no,False
US,AD00J8HDOM,yes,
US,AD00GH8T9Q,no,True
US,AD0876GVPC,no,True
US,AD08CDLSGW,no,True
US,AD006ZSUR8,yes,
US,AD08P988ZY,yes,
US,AD008JVJGM,yes,
US,AD00TXY88F,yes,
US,AD09KXRJZR,no,True
US,AD07VCV8ZG,yes,
US,AD086VRY8G,yes,
US,AD088QXVDM,yes,
US,AD07DJD96,yes,
US,AD088WFNQJ,yes,
US,AD098YT8Q,yes,
US,AD08X6R8MQ,yes,
US,AD08L9DNJG,yes,
US,AD08VRLZGM,yes,
US,AD09NXZHZ8,yes,
US,AD07MRHDX8,yes,
US,AD00AY6XNL,no,True
US,AD07T88XJX,yes,
US,AD08NYI6,yes,
US,AD086WLAXL,no,True
US,AD008NLL7M,yes,
US,AD00LOAY8X,yes,
US,AD07M8HLGF,yes,
US,AD088M868N,yes,
US,AD07TVHTY9,no,False
US,AD08N007OX,yes,
US,AD0788NG68,yes,
US,AD09J88H87,yes,
US,AD08KDQQJK,no,True
US,AD088MM88R,yes,
US,AD08TSPQHP,no,False
US,AD097P8RWY,yes,
US,AD08Y88N88,yes,
US,AD098NLSJ8,yes,
US,AD88898888,yes,
US,AD098CDQLS,yes,
US,AD088YWJ8P,yes,
US,AD08GYP6WJ,yes,
US,AD008E9ZZU,yes,
US,AD078YSL89,yes,
US,AD000G886R,yes,
US,AD08CKP88Y,yes,
US,AD0987JNH8,yes,
US,AD087FP8GL,yes,
US,AD08L8IIF8,yes,
US,AD07W8SN7N,yes,
US,AD09DHP9M9,yes,
US,AD07X8MN8P,no,True
US,AD08HLJCYY,yes,
US,AD07SDMNZ9,no,False
US,AD08DLGRP7,yes,
US,AD07ZJW8JG,yes,
US,AD08XMR99K,yes,
US,AD08CR7KJQ,no,True
US,AD07QMD8P8,yes,
US,AD07GCN6YR,no,False
US,AD08L8T8FP,yes,
US,AD09MS9JD,yes,
US,AD07J87N88,yes,
US,AD08FMX90E,yes,
US,AD0768QWQ8,no,True
US,AD000N8Z8O,yes,
US,AD07D6XH89,yes,
US,AD07PGQNFF,yes,
US,AD08XMFVR8,no,False
US,AD07P8PLFZ,yes,
US,AD08KQJW9X,yes,
US,AD07XF8HW8,yes,
US,AD08CS6FJM,yes,
US,AD07KXNJRS,yes,
US,AD08GQ8GQE,yes,
US,AD09HWPZNQ,yes,
US,AD0088G080,yes,
US,AD09PMV8M7,no,False
US,AD0987788W,yes,
US,AD08CXS8GR,no,False
US,AD088F8Q8K,yes,
US,AD0068YX0N,yes,
US,AD08ZYKHT8,yes,
US,AD08S8H8FW,yes,
US,AD089QQMSQ,no,False
US,AD089LTLVH,yes,
US,AD08XLCFPW,yes,
US,AD00F8PCKQ,yes,
